model_n_parameters,model_n_layers,model_n_heads,model_n_positions,model_vocabulary_size,model_relative_attention_max_distance,model_relative_attention_n_buckets,model_is_flash_attention,model_is_encoder_decoder,model_type_codegen,model_type_gpt_bigcode,model_type_gpt_neox,model_type_llama,model_type_mpt,model_type_mt5,model_type_t5,model_torch_dtype_bfloat16,model_torch_dtype_float16,model_torch_dtype_float32,gpu_n_cuda_cores,gpu_n_tensor_cores,gpu_n_rt_cores,gpu_architecture_Ampere,gpu_architecture_Hopper,gpu_architecture_Turing,gpu_architecture_Volta,n_input_tokens,reqnum,Target_throughput_tokens_per_sec
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,88.0,0,107.1427508504456
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,11.0,0,66.6662962983539
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,874.0,0,209.94225256496836
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,31.0,0,780.4687690544132
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,93.0,0,112.10306338981808
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,90.0,0,109.23524405636144
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,39.0,0,174.99927083637152
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,244.0,1,167.1403256734931
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,10.0,0,61.11077160682441
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,92.0,1,112.5627009420091
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,26.0,1,78.71697167063653
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,87.0,0,106.1506883425711
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,20.0,2,95.02219446970828
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,87.0,3,111.69090637692445
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,83.0,0,102.18243831107311
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,13.0,0,77.77734568141288
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,31.0,1,156.8619761667835
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,9.0,2,45.248664033194416
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,96.0,3,249.9993750015625
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,13.0,4,7.498656936980752
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,182.0,5,65.83806992338934
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,39.0,0,43.579024766330654
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,83.0,1,31.537038721053666
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,85.0,0,104.1665633268221
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,563.0,1,469.2870849409624
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,86.0,1,38.941940138890466
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,13.0,0,77.77734568141288
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,13.0,1,7.734802356462787
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,52.0,2,19.892342641623536
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,182.0,4,34.770313106669526
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,161.0,1,81.22988470404557
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,216.0,1,897.1156497298365
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,345.0,1,219.19491071522555
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,874.0,0,320.51731206708155
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,335.0,2,106.80497198505584
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,364.0,3,389.00374584673665
16.0,34,24,2048.0,51200,-1.0,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,16896,528,0,0,1,0,0,11.0,1,4.2194077990830525
