Workload_smpnum,Workload_reqnum,Workload_num_users,Workload_requests,records,NonAI_n_gpus,Workload_n_input_tokens,Workload_n_output_tokens,AI_model_is_flash_attention,AI_model_n_parameters,AI_model_is_encoder_decoder,AI_model_n_positions,AI_model_n_heads,AI_model_n_layers,AI_model_relative_attention_max_distance,AI_model_relative_attention_n_buckets,AI_model_vocabulary_size,NonAI_gpu_n_tensor_cores,NonAI_gpu_n_rt_cores,NonAI_gpu_n_cuda_cores,NonAI_gpu_n_sms,NonAI_gpu_n_rops,NonAI_gpu_n_tmus,NonAI_gpu_tflops_cuda_mixed,NonAI_gpu_tflops_cuda_fp32,NonAI_gpu_tflops_cuda_fp64,NonAI_gpu_tflops_tc_bf16,NonAI_gpu_tflops_tc_fp16,NonAI_gpu_tflops_tc_fp32,NonAI_gpu_tflops_tc_tf32,NonAI_gpu_tflops_tc_fp64,NonAI_gpu_memory_capacity_gb,NonAI_gpu_memory_bandwidth,NonAI_gpu_system_interface_gen,NonAI_gpu_compute_capability,NonAI_gpu_is_sxm,NonAI_gpu_is_nvlink,NonAI_gpu_n_gpus,NonAI_gpu_memory_capacity_gb_total,Workload_sequence_length,AI_model_torch_dtype_num,Target_latency_ms
269,5,128,1,1.0,2,11.0,1.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,2,80,12.0,1,1147.0
162,41,128,1,1.0,2,90.0,20.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,110.0,1,1950.0
317,56,64,1,1.0,1,244.0,50.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,294.0,1,5380.0
677,24,128,1,1.0,2,9.0,1.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,10.0,2,395.0
793,135,4,1,1.0,1,92.0,31.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,1,40,123.0,1,578.0
186,58,128,1,1.0,2,123.0,22.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,145.0,2,2251.0
202,0,128,1,1.0,4,874.0,72.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,320,40,2560,40,64,160,65.0,8.1,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,16,300,3,7.5,0,0,4,64,946.0,2,53076.0
157,31,128,1,1.0,4,563.0,55.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,618.0,2,4888.0
682,58,16,1,1.0,4,244.0,50.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,294.0,2,2674.0
57,3,64,1,1.0,4,13.0,1.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,14.0,1,427.0
779,58,64,1,1.0,1,563.0,10.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,573.0,1,1592.0
631,43,16,1,1.0,1,216.0,50.0,0,16.0,0,2048.0,24,34,0.0,0.0,51200,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,266.0,2,3621.0
381,41,128,1,1.0,2,140.0,2.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,142.0,1,683.0
643,29,64,1,1.0,2,18.0,1.0,0,20.0,1,512.0,16,32,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,19.0,0,553.0
394,0,32,1,1.0,2,11.0,1.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,12.0,2,647.0
348,3,128,1,1.0,2,91.0,20.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,111.0,1,2099.0
393,72,64,1,1.0,4,182.0,22.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,204.0,1,1253.0
285,26,16,1,1.0,2,100.0,27.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,320,40,2560,40,64,160,65.0,8.1,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,16,300,3,7.5,0,0,2,32,127.0,2,3051.0
344,147,16,1,1.0,4,13.0,1.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,14.0,1,120.0
216,8,8,1,1.0,4,91.0,20.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,111.0,2,1511.0
421,60,4,1,1.0,4,85.0,20.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,105.0,1,456.0
191,39,64,1,1.0,2,85.0,20.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,105.0,1,1406.0
445,61,16,1,1.0,2,457.0,2.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,459.0,2,167.0
414,57,8,1,1.0,1,87.0,20.0,0,13.0,1,2048.0,64,24,128.0,32.0,250112,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,1,40,107.0,2,922.0
71,71,4,1,1.0,1,364.0,11.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,375.0,2,319.0
