Workload_smpnum,Workload_reqnum,AI_model,Workload_num_users,Workload_requests,Target_latency_ms,records,NonAI_n_gpus,NonAI_gpu_type,Target_experiment_duration_s,Workload_n_input_tokens,Workload_n_output_tokens,Target_latency_ms_per_token,Target_timestamps_per_token,NonAI_gpu,AI_model_is_flash_attention,AI_model_n_parameters,AI_model_is_encoder_decoder,AI_model_type,AI_model_n_positions,AI_model_n_heads,AI_model_n_layers,AI_model_relative_attention_max_distance,AI_model_relative_attention_n_buckets,AI_model_torch_dtype,AI_model_vocabulary_size,NonAI_gpu_architecture,NonAI_gpu_n_tensor_cores,NonAI_gpu_n_rt_cores,NonAI_gpu_n_cuda_cores,NonAI_gpu_n_sms,NonAI_gpu_n_rops,NonAI_gpu_n_tmus,NonAI_gpu_tflops_cuda_mixed,NonAI_gpu_tflops_cuda_fp32,NonAI_gpu_tflops_cuda_fp64,NonAI_gpu_tflops_tc_bf16,NonAI_gpu_tflops_tc_fp16,NonAI_gpu_tflops_tc_fp32,NonAI_gpu_tflops_tc_tf32,NonAI_gpu_tflops_tc_fp64,NonAI_gpu_memory_capacity_gb,NonAI_gpu_memory_bandwidth,NonAI_gpu_system_interface_gen,NonAI_gpu_compute_capability,NonAI_gpu_is_sxm,NonAI_gpu_is_nvlink,NonAI_gpu_n_gpus,NonAI_gpu_memory_capacity_gb_total,Workload_sequence_length,Target_throughput_tokens_per_sec,Target_ITL,Target_TTFL
880,7,bigcode/starcoder,128,1,2551.0,1.0,2,A10,120,84.0,2.0,29.662790352758257,"[1697031023175, 1697031025577, 1697031025706]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,86.0,33.712256482847316,0.8798814605592813,1275.4993622503189
161,4,bigcode/starcoder,128,1,2519.0,1.0,2,A10,120,109.0,7.0,21.715517054176576,"[1697031023754, 1697031025705, 1697031025824, 1697031025937, 1697031026046, 1697031026157, 1697031026267]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,116.0,46.050001568081946,0.4715638619579139,359.8570914489869
52,24,bigcode/starcoder,16,1,778.0,1.0,2,A10,120,58.0,6.0,12.156249810058595,"[1697030596144, 1697030596706, 1697030596759, 1697030596810, 1697030596861, 1697030596912]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,64.0,82.26210506156161,0.1477745998985408,129.66664505555914
124,62,bigcode/starcoder,16,1,241.0,1.0,2,A10,120,83.0,2.0,2.8352940842906578,"[1697030658632, 1697030658859]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,85.0,352.69563196833207,0.0080389259725969,120.49993975003012
444,16,bigcode/starcoder,64,1,1576.0,1.0,2,A10,120,457.0,6.0,3.403887681633072,"[1697030908132, 1697030909277, 1697030909364, 1697030909449, 1697030909530, 1697030909613, 1697030909695]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,463.0,293.7815394787186,0.0115864586865683,262.6666228888962
15,25,bigcode/starcoder,64,1,4304.0,1.0,2,A10,120,100.0,20.0,35.86666636777778,"[1697030916120, 1697030916896, 1697030916988, 1697030917078, 1697030917163, 1697030917245, 1697030917328, 1697030917409, 1697030918649, 1697030918737, 1697030918828, 1697030918911, 1697030918995, 1697030919077, 1697030919158, 1697030920076, 1697030920162, 1697030920246, 1697030920333, 1697030920418]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,120.0,27.8810344142578,1.2864180198069792,215.19998924000052
214,17,bigcode/starcoder,64,1,3708.0,1.0,2,A10,120,52.0,20.0,51.49999928472224,"[1697030909711, 1697030910607, 1697030910688, 1697030910769, 1697030910852, 1697030910932, 1697030911014, 1697030911090, 1697030911881, 1697030911965, 1697030912048, 1697030912131, 1697030912214, 1697030912294, 1697030912373, 1697030913079, 1697030913163, 1697030913242, 1697030913324, 1697030913405]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,72.0,19.417470491512812,2.652250541850023,185.39999073000047
98,1,bigcode/starcoder,128,1,2946.0,1.0,2,A10,120,14.0,1.0,196.39998690666755,"[1697030997885, 1697031000769]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,15.0,5.091647966175164,38.572962946069474,2945.9970540029462
63,23,bigcode/starcoder,64,1,1046.0,1.0,2,A10,120,39.0,1.0,26.149999346250016,"[1697030939433, 1697030940444]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,40.0,38.2408812228669,0.68382311877243,1045.998954001046
837,2,bigcode/starcoder,64,1,6510.0,1.0,2,A10,120,85.0,20.0,61.99999940952382,"[1697030849446, 1697030851532, 1697030851616, 1697030851697, 1697030851771, 1697030852946, 1697030853022, 1697030853096, 1697030853171, 1697030853245, 1697030854492, 1697030854568, 1697030854642, 1697030854719, 1697030854794, 1697030855623, 1697030855705, 1697030855785, 1697030855867, 1697030855949]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,105.0,16.129029780486977,3.844000315538605,325.4999837250008
240,19,bigcode/starcoder,64,1,3918.0,1.0,2,A10,120,83.0,20.0,38.03883458214724,"[1697030908392, 1697030909364, 1697030909449, 1697030909530, 1697030909613, 1697030909695, 1697030909773, 1697030910608, 1697030910688, 1697030910769, 1697030910851, 1697030910932, 1697030911014, 1697030911090, 1697030911880, 1697030911964, 1697030912047, 1697030912130, 1697030912214, 1697030912294]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,103.0,26.288916210077534,1.4469532646846903,195.89999020500048
210,10,bigcode/starcoder,128,1,2064.0,1.0,2,A10,120,140.0,2.0,14.535211165244991,"[1697031063790, 1697031065846]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,142.0,68.79841627983707,0.2112724643958468,1031.999484000258
737,111,bigcode/starcoder,2,1,199.0,1.0,2,A10,120,216.0,2.0,0.9128440325098898,"[1697030258994, 1697030259143, 1697030259187]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,218.0,1095.471882050844,0.0008332884181086,99.49995025002488
289,2,bigcode/starcoder,128,1,10632.0,1.0,2,A10,120,89.0,20.0,97.54128350879556,"[1697031000795, 1697031002551, 1697031002672, 1697031002783, 1697031002892, 1697031003002, 1697031005195, 1697031005325, 1697031005446, 1697031005571, 1697031005688, 1697031005804, 1697031007844, 1697031007978, 1697031008094, 1697031008209, 1697031008322, 1697031011152, 1697031011280, 1697031011403]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,109.0,10.252068260715928,9.51430204266724,531.5999734200013
893,62,bigcode/starcoder,8,1,1054.0,1.0,2,A10,120,335.0,10.0,3.0550724549128336,"[1697030494909, 1697030495433, 1697030495484, 1697030495534, 1697030495583, 1697030495632, 1697030495681, 1697030495730, 1697030495853, 1697030495903, 1697030495952]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,345.0,327.3241676241294,0.0093334765585886,105.39998946000108
175,0,bigcode/starcoder,64,1,5616.0,1.0,2,A10,120,140.0,8.0,37.94594568955442,"[1697030844977, 1697030849047, 1697030849127, 1697030849204, 1697030849282, 1697030849360, 1697030849436, 1697030850518]",2 x A10,True,15.5,False,gpt_bigcode,8192.0,48,40,,,float32,49152,Ampere,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,False,False,2,48,148.0,26.353271660742227,1.4398950057569695,701.999912250011
