model_tag,target,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MRE_mean,MRE_std
EleutherAI_gpt-neox-20b,throughput,0.1739,0.0542,211.0501,12.2912,536.4741,16.7425,511.4232,74.8281
Salesforce_codegen2-16B,throughput,0.1312,0.0479,143.1969,12.3053,383.6094,11.691,880.869,274.002
bigcode_starcoder,throughput,0.1291,0.1828,223.9874,20.4695,574.8594,50.9156,341.0549,47.8269
bigscience_mt0-xxl,throughput,0.1058,0.0557,221.3983,12.8465,502.5314,11.844,538.1292,133.3388
google_flan-t5-xl,throughput,0.135,0.0335,154.2757,11.2995,405.1481,7.3312,585.4424,105.7683
google_flan-t5-xxl,throughput,0.1246,0.0599,148.8837,9.5358,379.5376,12.648,698.4387,121.1419
google_flan-ul2,throughput,0.1409,0.0365,134.0857,8.2775,354.2762,6.5396,535.6954,82.6413
ibm_mpt-7b-instruct2,throughput,0.1086,0.0458,295.4589,33.3258,734.7395,14.6168,1119.0963,449.8417
llama-13b,throughput,0.1593,0.0413,230.6411,13.5237,581.7715,13.777,447.7111,67.1776
llama-7b,throughput,0.1513,0.0264,282.5842,15.1562,738.7558,11.1691,378.0924,55.8723
