Dataset,dataset,num_of_run,num_of_success_run,num_of_fail_run,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MRE_mean,MRE_std
EleutherAI_gpt-neox-20b,EleutherAI_gpt-neox-20b,30,30,0,0.22132543435722882,0.06752761657978071,200.3305323559392,23.862792348156702,514.6349984031888,28.956443692322086,435.4256279533317,190.2282838724121
Salesforce_codegen2-16B,Salesforce_codegen2-16B,30,22,8,0.07411653481776939,0.04672122053019114,159.66681592434335,15.805036367363083,394.49416673555976,51.81089122163825,1146.342728706851,238.88718182559143
bigcode_starcoder,bigcode_starcoder,30,30,0,0.21933594239033793,0.059126316579041084,214.5659335314371,21.506893003183208,547.0593498692043,26.01288279370335,314.0096310870677,100.0287866444616
bigscience_mt0-xxl,bigscience_mt0-xxl,30,30,0,0.12824778473487206,0.06371266716515284,225.4800075797378,10.516066012157358,491.11835189263894,30.949281068712686,602.738136362453,76.18798015458333
google_flan-t5-xl,google_flan-t5-xl,30,30,0,0.2199062989997353,0.08436624945639978,137.79584774567783,12.176479132457084,386.932807509342,28.40663315731465,380.8242633842957,161.21368011011114
google_flan-t5-xxl,google_flan-t5-xxl,30,30,0,0.21262636509914123,0.05626014725135154,129.3913749793203,9.41537381639956,358.9540631549622,22.0141780131426,340.51082466166434,180.41465903201964
google_flan-ul2,google_flan-ul2,30,30,0,0.24707181947742168,0.07685571520296935,113.38130744338204,9.360013018874156,329.1375100606437,22.684056404150848,270.97338063995954,118.88456246054186
ibm_mpt-7b-instruct2,ibm_mpt-7b-instruct2,30,30,0,0.14580167663956192,0.04823003307023959,311.00678158790123,18.18339260160578,725.9245318624021,43.74287319179095,1376.5466216857915,275.1634420273957
llama-13b,llama-13b,30,30,0,0.3432509203410236,0.07016773305531958,181.09778049994569,9.258905576947539,506.8875295869185,28.454881879989486,185.02044649835364,47.40653539357228
llama-7b,llama-7b,30,30,0,0.3205988939076567,0.052269617835779075,230.5194052886468,13.0713586761614,668.2937527086838,36.28812582591999,180.01179964548948,60.84081423995857
