experiment,learner,cv,target,model_tag,n_train,n_test,R2,MAE,RMSE,MRE,ΔR2,ΔMAE,ΔRMSE,ΔMRE,run_id,run_idx,M1_R2,M1_MAE,M1_RMSE,M1_MRE,ΔR2_improve,ΔMAE_improve,ΔRMSE_improve,ΔMRE_improve
M1_no_interaction,dcpl_gate=ridge,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.6104383551702262,132.5733040327342,364.59559002002294,237.4939634186693,0.0,0.0,0.0,0.0,2026-03-25_233351,1,0.6104383551702262,132.5733040327342,364.59559002002294,237.4939634186693,0.0,0.0,0.0,0.0
M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.6104516392630535,132.62241822418187,364.5893735931535,237.2077044635106,1.3284092827303697e-05,0.0491141914476713,-0.0062164268694573,-0.2862589551587007,2026-03-25_233351,1,0.6104383551702262,132.5733040327342,364.59559002002294,237.4939634186693,1.3284092827303695e-05,-0.049114191447671374,0.006216426869457337,0.2862589551587007
M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.6048746220727401,132.9124227437516,367.1899432120603,236.76092930653877,-0.005563733097486,0.3391187110173916,2.5943531920373744,-0.7330341121305253,2026-03-25_233351,1,0.6104383551702262,132.5733040327342,364.59559002002294,237.4939634186693,-0.005563733097486034,-0.33911871101739166,-2.5943531920373744,0.7330341121305253
M3_full,dcpl_gate=ridge,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.6215757566294702,128.49265432770096,359.3459806206962,178.22843332042797,0.011137401459244,-4.080649705033238,-5.249609399326744,-59.26553009824133,2026-03-25_233351,1,0.6104383551702262,132.5733040327342,364.59559002002294,237.4939634186693,0.011137401459244023,4.080649705033238,5.249609399326744,59.26553009824133
M1_no_interaction,dcpl_gate=ridge,split80_20,Target_throughput_tokens_per_sec,data_Salesforce_codegen2-16B,4820,1205,0.3492402819940529,120.13243848224629,339.38034270022354,502.01523960302205,0.0,0.0,0.0,0.0,2026-03-25_233351,1,0.3492402819940529,120.13243848224629,339.38034270022354,502.01523960302205,0.0,0.0,0.0,0.0
M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,Target_throughput_tokens_per_sec,data_Salesforce_codegen2-16B,4820,1205,0.3490541502651032,119.31863681171409,339.4288743870275,478.5796082307368,-0.0001861317289496,-0.8138016705322002,0.0485316868039831,-23.43563137228529,2026-03-25_233351,1,0.3492402819940529,120.13243848224629,339.38034270022354,502.01523960302205,-0.00018613172894965668,0.8138016705322002,-0.04853168680398312,23.43563137228523
M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,Target_throughput_tokens_per_sec,data_Salesforce_codegen2-16B,4820,1205,0.3542860709451239,118.15515699505316,338.0620573924837,444.1506406504326,0.0050457889510709,-1.9772814871931248,-1.3182853077398136,-57.86459895258946,2026-03-25_233351,1,0.3492402819940529,120.13243848224629,339.38034270022354,502.01523960302205,0.005045788951070995,1.9772814871931246,1.3182853077398136,57.86459895258946
M3_full,dcpl_gate=ridge,split80_20,Target_throughput_tokens_per_sec,data_Salesforce_codegen2-16B,4820,1205,0.3484008415010834,119.18826975321534,339.59916216687054,472.3853955360819,-0.0008394404929694,-0.9441687290309488,0.2188194666470053,-29.62984406694017,2026-03-25_233351,1,0.3492402819940529,120.13243848224629,339.38034270022354,502.01523960302205,-0.0008394404929694677,0.9441687290309488,-0.21881946664700536,29.629844066940166
M1_no_interaction,dcpl_gate=ridge,split80_20,Target_throughput_tokens_per_sec,data_bigcode_starcoder,107817,26955,0.5787995782842843,137.9871103831114,390.3690900826789,140.92691537198183,0.0,0.0,0.0,0.0,2026-03-25_233351,1,0.5787995782842843,137.9871103831114,390.3690900826789,140.92691537198183,0.0,0.0,0.0,0.0
M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,Target_throughput_tokens_per_sec,data_bigcode_starcoder,107817,26955,0.5787981656569865,138.08225270919388,390.3697446945241,140.94025484283551,-1.4126272978032262e-06,0.095142326082481,0.0006546118452206,0.0133394708536798,2026-03-25_233351,1,0.5787995782842843,137.9871103831114,390.3690900826789,140.92691537198183,-1.4126272978032262e-06,-0.09514232608248108,-0.0006546118452206429,-0.013339470853679813
