method_group,seed,learner,cv,target,R2,MRE,source_dir,source_csv
Baseline,42,lr,split80_20,Target_throughput_tokens_per_sec,0.3265223524444083,695.4205711984185,results/runs/2026-01-22_114637,results/runs/2026-01-22_114637/baseline_split80_merged__lr__5runs_raw.csv
Baseline,1042,lr,split80_20,Target_throughput_tokens_per_sec,0.3265601828078158,683.9280540163619,results/runs/2026-01-22_114637,results/runs/2026-01-22_114637/baseline_split80_merged__lr__5runs_raw.csv
Baseline,2042,lr,split80_20,Target_throughput_tokens_per_sec,0.3255561929827182,691.8465520636288,results/runs/2026-01-22_114637,results/runs/2026-01-22_114637/baseline_split80_merged__lr__5runs_raw.csv
Baseline,3042,lr,split80_20,Target_throughput_tokens_per_sec,0.3200577109923781,694.9278657384788,results/runs/2026-01-22_114637,results/runs/2026-01-22_114637/baseline_split80_merged__lr__5runs_raw.csv
Baseline,4042,lr,split80_20,Target_throughput_tokens_per_sec,0.325323652559972,674.6032854061867,results/runs/2026-01-22_114637,results/runs/2026-01-22_114637/baseline_split80_merged__lr__5runs_raw.csv
Baseline,42,ridge,split80_20,Target_throughput_tokens_per_sec,0.3265223571189766,695.4188729505638,results/runs/2026-01-22_114645,results/runs/2026-01-22_114645/baseline_split80_merged__ridge__5runs_raw.csv
Baseline,1042,ridge,split80_20,Target_throughput_tokens_per_sec,0.3265601590513448,683.9263853485232,results/runs/2026-01-22_114645,results/runs/2026-01-22_114645/baseline_split80_merged__ridge__5runs_raw.csv
Baseline,2042,ridge,split80_20,Target_throughput_tokens_per_sec,0.3255561875888718,691.8448630759498,results/runs/2026-01-22_114645,results/runs/2026-01-22_114645/baseline_split80_merged__ridge__5runs_raw.csv
Baseline,3042,ridge,split80_20,Target_throughput_tokens_per_sec,0.320057711335857,694.9261574584302,results/runs/2026-01-22_114645,results/runs/2026-01-22_114645/baseline_split80_merged__ridge__5runs_raw.csv
Baseline,4042,ridge,split80_20,Target_throughput_tokens_per_sec,0.325323640643925,674.6016363619698,results/runs/2026-01-22_114645,results/runs/2026-01-22_114645/baseline_split80_merged__ridge__5runs_raw.csv
Baseline,42,rf_light,split80_20,Target_throughput_tokens_per_sec,0.8783233422267391,80.42639356502801,results/runs/2026-01-22_114653,results/runs/2026-01-22_114653/baseline_split80_merged__rf_light__5runs_raw.csv
Baseline,1042,rf_light,split80_20,Target_throughput_tokens_per_sec,0.8815486512967884,80.00632414398247,results/runs/2026-01-22_114653,results/runs/2026-01-22_114653/baseline_split80_merged__rf_light__5runs_raw.csv
Baseline,2042,rf_light,split80_20,Target_throughput_tokens_per_sec,0.878440753111229,79.95163918284226,results/runs/2026-01-22_114653,results/runs/2026-01-22_114653/baseline_split80_merged__rf_light__5runs_raw.csv
Baseline,3042,rf_light,split80_20,Target_throughput_tokens_per_sec,0.8769970922193048,80.0839198515803,results/runs/2026-01-22_114653,results/runs/2026-01-22_114653/baseline_split80_merged__rf_light__5runs_raw.csv
Baseline,4042,rf_light,split80_20,Target_throughput_tokens_per_sec,0.8776991684900237,79.14416030040739,results/runs/2026-01-22_114653,results/runs/2026-01-22_114653/baseline_split80_merged__rf_light__5runs_raw.csv
Baseline,42,nn,split80_20,Target_throughput_tokens_per_sec,0.9228534022404352,76.39908664613007,results/runs/2026-01-22_114735,results/runs/2026-01-22_114735/baseline_split80_merged__nn__5runs_raw.csv
Baseline,1042,nn,split80_20,Target_throughput_tokens_per_sec,0.9233160241611944,81.10109239756517,results/runs/2026-01-22_114735,results/runs/2026-01-22_114735/baseline_split80_merged__nn__5runs_raw.csv
