dataset,metric,mean,std,method,is_best
EleutherAI_gpt-neox-20b,R2,0.2213254343572288,0.0675276165797807,DaL,False
Salesforce_codegen2-16B,R2,0.0741165348177693,0.0467212205301911,DaL,False
bigcode_starcoder,R2,0.2193359423903379,0.059126316579041,DaL,False
bigscience_mt0-xxl,R2,0.128247784734872,0.0637126671651528,DaL,False
google_flan-t5-xl,R2,0.2199062989997353,0.0843662494563997,DaL,False
google_flan-t5-xxl,R2,0.2126263650991412,0.0562601472513515,DaL,False
google_flan-ul2,R2,0.2470718194774216,0.0768557152029693,DaL,False
ibm_mpt-7b-instruct2,R2,0.1458016766395619,0.0482300330702395,DaL,False
llama-13b,R2,0.3432509203410236,0.0701677330553195,DaL,False
llama-7b,R2,0.3205988939076567,0.052269617835779,DaL,False
EleutherAI_gpt-neox-20b,MAE,200.3305323559392,23.862792348156702,DaL,False
Salesforce_codegen2-16B,MAE,159.66681592434335,15.805036367363083,DaL,False
bigcode_starcoder,MAE,214.5659335314371,21.506893003183208,DaL,False
bigscience_mt0-xxl,MAE,225.4800075797378,10.516066012157358,DaL,False
google_flan-t5-xl,MAE,137.79584774567783,12.176479132457084,DaL,False
google_flan-t5-xxl,MAE,129.3913749793203,9.41537381639956,DaL,False
google_flan-ul2,MAE,113.38130744338204,9.360013018874156,DaL,False
ibm_mpt-7b-instruct2,MAE,311.00678158790123,18.18339260160578,DaL,False
llama-13b,MAE,181.09778049994569,9.25890557694754,DaL,False
llama-7b,MAE,230.5194052886468,13.0713586761614,DaL,False
EleutherAI_gpt-neox-20b,RMSE,514.6349984031888,28.95644369232209,DaL,False
Salesforce_codegen2-16B,RMSE,394.49416673555976,51.81089122163825,DaL,False
bigcode_starcoder,RMSE,547.0593498692043,26.01288279370335,DaL,False
bigscience_mt0-xxl,RMSE,491.11835189263894,30.949281068712686,DaL,False
google_flan-t5-xl,RMSE,386.932807509342,28.40663315731465,DaL,False
google_flan-t5-xxl,RMSE,358.9540631549622,22.0141780131426,DaL,False
google_flan-ul2,RMSE,329.1375100606437,22.684056404150848,DaL,False
ibm_mpt-7b-instruct2,RMSE,725.9245318624021,43.74287319179095,DaL,False
llama-13b,RMSE,506.8875295869185,28.45488187998949,DaL,False
llama-7b,RMSE,668.2937527086838,36.28812582591999,DaL,False
EleutherAI_gpt-neox-20b,MRE,435.4256279533317,190.2282838724121,DaL,False
Salesforce_codegen2-16B,MRE,1146.342728706851,238.88718182559143,DaL,False
bigcode_starcoder,MRE,314.0096310870677,100.0287866444616,DaL,False
bigscience_mt0-xxl,MRE,602.738136362453,76.18798015458333,DaL,False
google_flan-t5-xl,MRE,380.8242633842957,161.21368011011114,DaL,False
google_flan-t5-xxl,MRE,340.51082466166434,180.41465903201964,DaL,False
google_flan-ul2,MRE,270.97338063995954,118.88456246054186,DaL,False
ibm_mpt-7b-instruct2,MRE,1376.5466216857917,275.1634420273957,DaL,False
llama-13b,MRE,185.02044649835364,47.40653539357228,DaL,False
