dataset,metric,baseline,dcpl_method,delta,delta_pct,dcpl_wins
EleutherAI_gpt-neox-20b,MAE,DaL,DCPL(nn_gate),73.62605383361392,36.752287815418036,True
EleutherAI_gpt-neox-20b,MRE,DaL,DCPL(nn_gate),297.05057750438493,68.22073815467343,True
EleutherAI_gpt-neox-20b,R2,DaL,DCPL(nn_gate),0.3848945004348849,,True
EleutherAI_gpt-neox-20b,RMSE,DaL,DCPL(nn_gate),145.21042751829947,28.216197493147355,True
Salesforce_codegen2-16B,MAE,DaL,DCPL(nn_gate),35.87175814621247,22.466633369334534,True
Salesforce_codegen2-16B,MRE,DaL,DCPL(nn_gate),587.5283898764909,51.2524199930383,True
Salesforce_codegen2-16B,R2,DaL,DCPL(nn_gate),0.224063137206659,,True
Salesforce_codegen2-16B,RMSE,DaL,DCPL(nn_gate),61.552354020152734,15.602855304426583,True
bigcode_starcoder,MAE,DaL,DCPL(nn_gate),85.86893368429901,40.019835521428625,True
bigcode_starcoder,MRE,DaL,DCPL(nn_gate),206.851408493834,65.87422423246592,True
bigcode_starcoder,R2,DaL,DCPL(nn_gate),0.4151265803781272,,True
bigcode_starcoder,RMSE,DaL,DCPL(nn_gate),174.09008416066888,31.82288799237082,True
bigscience_mt0-xxl,MAE,DaL,DCPL(nn_gate),63.8499752654933,28.31735547237538,True
bigscience_mt0-xxl,MRE,DaL,DCPL(nn_gate),365.81421632157566,60.69206414070263,True
bigscience_mt0-xxl,R2,DaL,DCPL(nn_gate),0.2716395679188911,,True
bigscience_mt0-xxl,RMSE,DaL,DCPL(nn_gate),84.18893973018305,17.142291548613763,True
google_flan-t5-xl,MAE,DaL,DCPL(nn_gate),53.16962029604271,38.585792798470194,True
google_flan-t5-xl,MRE,DaL,DCPL(nn_gate),243.1306774819973,63.84327388211879,True
google_flan-t5-xl,R2,DaL,DCPL(nn_gate),0.4436496209074558,,True
google_flan-t5-xl,RMSE,DaL,DCPL(nn_gate),134.88989327949812,34.86132234373571,True
google_flan-t5-xxl,MAE,DaL,DCPL(nn_gate),48.328846021976545,37.35090227590564,True
google_flan-t5-xxl,MRE,DaL,DCPL(nn_gate),194.3927667464389,57.08857183603191,True
google_flan-t5-xxl,R2,DaL,DCPL(nn_gate),0.441985285857565,,True
google_flan-t5-xxl,RMSE,DaL,DCPL(nn_gate),117.65734982502778,32.77782922719962,True
google_flan-ul2,MAE,DaL,DCPL(nn_gate),35.63373188937945,31.42822453972271,True
google_flan-ul2,MRE,DaL,DCPL(nn_gate),116.79825308350038,43.10322025272638,True
google_flan-ul2,R2,DaL,DCPL(nn_gate),0.3876529108858958,,True
google_flan-ul2,RMSE,DaL,DCPL(nn_gate),103.8286062424176,31.545661940289683,True
ibm_mpt-7b-instruct2,MAE,DaL,DCPL(nn_gate),116.41844626903966,37.432767759803916,True
ibm_mpt-7b-instruct2,MRE,DaL,DCPL(nn_gate),1053.6792249616153,76.54511720578154,True
ibm_mpt-7b-instruct2,R2,DaL,DCPL(nn_gate),0.3223469125585794,,True
ibm_mpt-7b-instruct2,RMSE,DaL,DCPL(nn_gate),169.39655438074442,23.33528444701374,True
llama-13b,MAE,DaL,DCPL(nn_gate),50.06477067258254,27.645159722207396,True
llama-13b,MRE,DaL,DCPL(nn_gate),62.546956242618094,33.80542930598465,True
llama-13b,R2,DaL,DCPL(nn_gate),0.2919509465515007,,True
llama-13b,RMSE,DaL,DCPL(nn_gate),120.71180800733299,23.814317962350646,True
llama-7b,MAE,DaL,DCPL(nn_gate),73.11192956677013,31.716171345845012,True
llama-7b,MRE,DaL,DCPL(nn_gate),68.11683214648535,37.84020396475834,True
