dataset,metric,DaL,LLM_Pilot,lr,nn,rf_light,ridge
EleutherAI_gpt-neox-20b,MAE,73.62605383361392,25.892046536201974,69.66193233795636,32.0682738544547,3.4165698144282715,69.66061080933736
EleutherAI_gpt-neox-20b,MRE,297.05057750438493,56.98380117430142,260.7898986700037,15.119940391987512,-15.704407711164976,260.7819908278354
EleutherAI_gpt-neox-20b,R2,0.3848945004348849,0.12877086493176532,0.2949107799867956,0.16798049324282227,0.02516140174150794,0.2949107679049397
EleutherAI_gpt-neox-20b,RMSE,145.21042751829947,56.30803320441311,119.42261480126933,72.01688862640304,11.463849617970425,119.42261282750928
Salesforce_codegen2-16B,MAE,35.87175814621247,-7.702846169393283,17.22090612557983,1.3598930066982575,-2.0350186507415913,17.206853675596136
Salesforce_codegen2-16B,MRE,587.5283898764909,-173.67978680938523,-9.352989365934604,-162.0734148034465,-271.4388534538032,-9.689106132282177
Salesforce_codegen2-16B,R2,0.224063137206659,-0.06300106739336847,0.06043546246862433,-0.006640815656536347,0.010504820244126578,0.0604276593769508
Salesforce_codegen2-16B,RMSE,61.552354020152734,-15.957726161751395,14.914965273115172,-2.0386233071420747,0.43156346048698424,14.91376282485271
bigcode_starcoder,MAE,85.86893368429901,28.496667782326654,75.83418841421405,34.19719052876016,1.4812479816579298,75.83329891908411
bigcode_starcoder,MRE,206.851408493834,39.97339106924551,148.17788757138038,18.99188872921556,-5.463886154194967,148.17498027038084
bigcode_starcoder,R2,0.4151265803781272,0.1452571487972958,0.3171111024479275,0.18176269010950913,0.012572349010177897,0.3171110967415612
bigcode_starcoder,RMSE,174.09008416066888,67.97993593056026,136.91648714176796,83.47305910190153,6.325670059636991,136.91648665975208
bigscience_mt0-xxl,MAE,63.8499752654933,-3.5144610828341456,35.60131168776283,13.437436966329386,3.3595173892398122,35.592882112213715
bigscience_mt0-xxl,MRE,365.81421632157566,-19.569243455620864,52.40827322778796,-4.9446759193947685,-47.721897082047604,52.35994273720115
bigscience_mt0-xxl,R2,0.2716395679188911,-0.04241601614566143,0.12247279051962917,0.019521328244751,0.06513816926430172,0.12247040102190498
bigscience_mt0-xxl,RMSE,84.18893973018305,-15.030126390813905,40.22315208695056,6.211027965781398,20.546874078461485,40.22270069868813
google_flan-t5-xl,MAE,53.16962029604271,23.382755215651727,56.802549557597374,26.419392238172634,0.6759500673718009,56.801902536556796
google_flan-t5-xl,MRE,243.1306774819973,65.37269662904649,251.92831849312054,17.738549077541705,-10.07819401014109,251.92173385129522
google_flan-t5-xl,R2,0.4436496209074558,0.16690134268091783,0.37114663442305157,0.20849429107859485,0.014970957489800596,0.37114661051468506
google_flan-t5-xl,RMSE,134.88989327949812,56.28651787078044,113.74691303510158,68.81448673844417,5.438430828334134,113.74690850745705
google_flan-t5-xxl,MAE,48.328846021976545,23.630308476615355,54.45835869832254,28.5064034965513,2.604636502162535,54.45729268983962
google_flan-t5-xxl,MRE,194.3927667464389,75.48604564363612,290.2793467465856,34.301715331769316,-2.6466929959488823,290.2654980269102
google_flan-t5-xxl,R2,0.441985285857565,0.1621127900270315,0.3628902536953829,0.21742410166666787,0.020657955018242746,0.36289036173773076
google_flan-t5-xxl,RMSE,117.65734982502778,51.28988513427987,104.58104473034615,66.87122822616334,6.81929534242812,104.58107455760069
google_flan-ul2,MAE,35.63373188937945,16.376355096097612,45.1169663695774,21.514667640743227,0.4606329687278077,45.1151436672002
google_flan-ul2,MRE,116.79825308350038,48.204877882815765,192.9274931795592,10.01028238969198,-15.924316887226581,192.9097550623006
google_flan-ul2,R2,0.3876529108858958,0.13131609381801912,0.33695878387175754,0.19885677808649077,0.019803520599531832,0.33695841112423686
google_flan-ul2,RMSE,103.8286062424176,37.81058457399598,88.07659799950727,55.37078059509747,5.5513890227312,88.07652337090673
ibm_mpt-7b-instruct2,MAE,116.41844626903966,14.163248400129476,72.7888444632982,29.480163197262584,17.771334839619357,72.78126877392808
ibm_mpt-7b-instruct2,MRE,1053.6792249616153,27.96944651439236,384.8800796877912,-23.982912938220124,-72.6953790848404,384.7643668930425
ibm_mpt-7b-instruct2,R2,0.3223469125585794,0.02835677898861122,0.18482038218070368,0.067445463598719,0.1452786404478117,0.18481958064505527
ibm_mpt-7b-instruct2,RMSE,169.39655438074442,14.835501000613817,90.15509432973442,34.64246694450526,70.44131735099631,90.15482283324911
llama-13b,MAE,50.06477067258254,30.86238288623983,79.79957162170186,36.88292745625671,2.7852615210017575,79.7984986891793
llama-13b,MRE,62.546956242618094,49.16137607975482,189.94340020676094,21.668308095211003,-5.147886260392426,189.9387749499885
llama-13b,R2,0.2919509465515007,0.15036603464534826,0.32034691939980287,0.18388132892629028,0.015439195885808,0.3203469465612259
llama-13b,RMSE,120.71180800733299,72.79187518825023,143.29589801863068,87.5558865553624,7.900984282875072,143.2959114265297
llama-7b,MAE,73.11192956677013,42.82852201278567,105.00367050616882,48.47427335277234,3.383744733617789,105.00273888979615
llama-7b,MRE,68.11683214648535,49.40945842981823,167.05848873277523,25.0951663414928,-1.7407624070711734,167.05570430309285
llama-7b,R2,0.3386207188302818,0.17912226299962314,0.3521835291219331,0.20912166877452287,0.01518043915519407,0.3521835248987757
llama-7b,RMSE,200.2474903556227,110.22333753417917,199.81799599407765,126.69824515288911,10.143158434328143,199.81799553532136
