dataset,n_samples,mean_R2,mean_MAE,mean_RMSE,mean_MRE(%),std_R2,std_MAE,std_RMSE,std_MRE(%)
data_EleutherAI_gpt-neox-20b,89719,0.9944529524372762,14.731459362314624,43.4553998282915,24.59319449732393,0.002251160748800257,0.7765406076572711,9.890531252353048,1.3568924187540554
data_Salesforce_codegen2-16B,6025,0.9737331035401097,12.270486386843718,64.43717774750232,21.18884586576014,0.014727186672024925,2.767383937226166,24.563784060371265,2.1084559694887757
data_bigcode_starcoder,134772,0.9952744122638766,14.890952559346866,42.033482553874634,21.148057311165108,0.0017785576126192306,0.6936424590912507,9.47657554763311,0.5747103427649194
data_bigscience_mt0-xxl,10706,0.9878879491156782,13.904726674268776,57.691498710639735,17.789815233699766,0.00535477401009439,1.7594169646392723,17.605438784557258,1.057250452848257
data_google_flan-t5-xl,138299,0.9950290707558412,10.116215221075759,30.44109988999086,27.92674419393386,0.0012158199521161287,0.281340590268329,4.433421508677817,1.3810220740454888
data_google_flan-t5-xxl,77922,0.993026716590372,9.391039223606692,32.300078420781944,26.502264801405186,0.005928001749917581,0.5656351315234668,12.146636042707422,1.3055391038219413
data_google_flan-ul2,45856,0.9910027640747398,9.206237474640464,34.82000613793203,23.40610769787973,0.006159872853830714,0.5711835859495715,12.39839835169285,1.2868069136207105
data_ibm_mpt-7b-instruct2,19086,0.9908587296315489,17.7680153184855,72.32882316501541,26.155413056896844,0.005601731553563463,2.0686467998596854,26.444527852469033,1.4337323627566718
data_llama-13b,119291,0.9952239925412613,14.944778729709682,43.444249371641085,23.128336323543934,0.0017411943206708993,0.5363204218212011,9.254051361515463,0.7023451481978764
data_llama-7b,171218,0.9956534391074114,18.636038996839293,52.21524988297424,23.24937920161893,0.001608943663070435,0.5860792894914288,9.900974884783265,0.7568582854943295
