per_model_file,target,learner,cv,experiment,n_train,n_test,R2,MAE,RMSE,MRE
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter01_seed42,71775.0,17944.0,0.290005337673191,192.6023163202799,492.2104816194384,354.09047643954113
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter02_seed1042,71775.0,17944.0,0.3087356785539278,190.26006280817765,477.82768120360504,350.052549933787
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter03_seed2042,71775.0,17944.0,0.295351243902843,191.72270976546525,505.3775286133565,326.30530881952325
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter04_seed3042,71775.0,17944.0,0.3038405438168197,190.80167155026191,489.3440633718907,342.11547686260485
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter05_seed4042,71775.0,17944.0,0.2934390901238295,192.6649496850252,495.5644427296784,346.06080277908194
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter06_seed5042,71775.0,17944.0,0.2875040738470446,189.6129901889495,476.84076057024146,346.85707680163847
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter07_seed6042,71775.0,17944.0,0.2907023383206624,192.57750284725228,492.3983832902216,340.2894764966873
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter08_seed7042,71775.0,17944.0,0.3024294061112519,189.5580828457249,491.0657162219474,343.52771482543204
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter09_seed8042,71775.0,17944.0,0.2876716980537904,194.09030232626233,504.7054041239492,339.17499797412404
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter10_seed9042,71775.0,17944.0,0.2944075793071743,187.84048809276544,487.0574840933157,353.5011401088098
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter11_seed10042,71775.0,17944.0,0.2972854893798397,196.3134856818257,519.0172127290674,356.46976364114715
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter12_seed11042,71775.0,17944.0,0.2975253215542879,192.0147378382418,477.7528266156352,346.808317169497
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter13_seed12042,71775.0,17944.0,0.2813101021661438,193.04419991662297,498.4067191638787,338.2859093157363
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter14_seed13042,71775.0,17944.0,0.2977995365847113,193.5043537183596,493.719320394116,326.88807818388995
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter15_seed14042,71775.0,17944.0,0.2973754677017152,194.3036761983445,505.8301247419436,328.5441078247232
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter16_seed15042,71775.0,17944.0,0.2931181685307107,191.00169805786825,472.6587230759476,338.216759585061
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter17_seed16042,71775.0,17944.0,0.289868340339886,196.9837005449039,516.2063052309088,348.44107701588183
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter18_seed17042,71775.0,17944.0,0.2756705943966949,193.3532334445374,475.444003095051,330.361354806389
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter19_seed18042,71775.0,17944.0,0.2885201727705415,196.07746385720148,497.3389001248012,364.9294166455605
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter20_seed19042,71775.0,17944.0,0.284942295057551,193.4209820033472,497.79434484298184,354.92006798241056
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter21_seed20042,71775.0,17944.0,0.2897380942790646,190.4294978207108,485.7231793413158,349.9941629858602
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter22_seed21042,71775.0,17944.0,0.2773811772864538,194.7220195894036,509.3811771117191,343.51133130369533
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter23_seed22042,71775.0,17944.0,0.2862758125297829,192.0787955118096,504.3326260729886,340.95568174525283
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter24_seed23042,71775.0,17944.0,0.3006395992659453,195.44973730229913,506.8877246769926,330.1069633943544
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter25_seed24042,71775.0,17944.0,0.291327973220534,193.44415890029907,491.243298112106,348.3661730965606
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter26_seed25042,71775.0,17944.0,0.2932965671153337,188.76245104440588,503.0248805493219,332.9348502943202
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter27_seed26042,71775.0,17944.0,0.293218955646441,195.39062135417387,515.4247565921982,325.5194434483096
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter28_seed27042,71775.0,17944.0,0.3151084428265335,190.32340513049007,469.8833192771377,340.1193488547598
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter29_seed28042,71775.0,17944.0,0.2906402192654586,194.58381154214783,508.9076898792408,341.83057556194416
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,lr,split80_20,baseline_split80_lr_iter30_seed29042,71775.0,17944.0,0.2957696581732499,191.4789324092136,497.1718691930667,334.8140873319144
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter01_seed42,71775.0,17944.0,0.518482879087247,149.18907665107815,405.3490716256088,177.28615820841102
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter02_seed1042,71775.0,17944.0,0.5462411175340849,150.36083764705452,387.13443619375187,207.6515240225871
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter03_seed2042,71775.0,17944.0,0.5446372297257416,154.46433220063636,406.264002402042,228.47755889763124
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter04_seed3042,71775.0,17944.0,0.5678055869430789,147.4111295358402,385.56671456145335,183.27573901884057
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter05_seed4042,71775.0,17944.0,0.5360452228972603,149.33128212370644,401.5717560979555,187.4334551250415
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,nn,split80_20,baseline_split80_nn_iter06_seed5042,71775.0,17944.0,0.5394570540973255,145.7558039470136,383.3692247026605,197.58983555684608
