Dataset,Baseline,DICE,Delta,DeltaPct
data_bigcode_starcoder,0.571,0.578,0.008,1.34\%
data_Salesforce_codegen2-16B,0.196,0.202,0.007,3.34\%
data_EleutherAI_gpt-neox-20b,0.538,0.544,0.006,1.17\%
data_llama-13b,0.536,0.541,0.005,0.97\%
data_llama-7b,0.534,0.537,0.003,0.55\%
data_google_flan-t5-xl,0.482,0.485,0.003,0.60\%
data_google_flan-t5-xxl,0.451,0.453,0.003,0.61\%
data_bigscience_mt0-xxl,0.332,0.334,0.002,0.51\%
data_google_flan-ul2,0.459,0.458,-0.000,-0.10\%
data_ibm_mpt-7b-instruct2,0.329,0.327,-0.002,-0.75\%
