Dataset,Baseline,DICE,Delta,DeltaPct
data_Salesforce_codegen2-16B,952.364,952.317,-0.047,-0.00\%
data_ibm_mpt-7b-instruct2,903.795,903.798,0.004,0.00\%
data_bigscience_mt0-xxl,389.179,389.191,0.012,0.00\%
data_llama-7b,149.440,149.457,0.017,0.01\%
data_bigcode_starcoder,114.609,114.635,0.026,0.02\%
data_llama-13b,160.480,160.539,0.059,0.04\%
data_google_flan-ul2,250.899,250.988,0.089,0.04\%
data_EleutherAI_gpt-neox-20b,169.605,169.730,0.125,0.07\%
data_google_flan-t5-xl,273.027,273.167,0.140,0.05\%
data_google_flan-t5-xxl,338.794,339.114,0.321,0.09\%
