model_tag,lr,ridge,rf_light,nn,llm_pilot,dcpl_gate=ridge
data_EleutherAI_gpt-neox-20b,227.4105,227.4096,208.1902,204.1043,235.7329,209.6197
data_Salesforce_codegen2-16B,162.8358,162.8243,120.8024,127.466,167.8564,120.1618
data_bigcode_starcoder,240.5404,240.5401,220.4172,224.9447,243.318,220.4319
data_bigscience_mt0-xxl,236.01,236.0013,200.9645,202.0601,242.5048,200.069
data_google_flan-t5-xl,165.9638,165.9635,147.968,144.5941,169.73,148.0735
data_google_flan-t5-xxl,156.0758,156.0751,138.3489,135.6982,161.0509,139.2006
data_google_flan-ul2,139.8003,139.7988,125.7187,128.0532,142.7763,124.5751
data_ibm_mpt-7b-instruct2,316.7611,316.7545,249.5939,260.6267,326.1499,248.3689
data_llama-13b,247.8297,247.8292,223.1184,229.6452,254.189,222.2314
data_llama-7b,307.9114,307.911,277.0641,273.0459,312.8501,276.2328
