model_tag,lr,ridge,rf_light,nn,llm_pilot,dcpl_gate=ridge
data_EleutherAI_gpt-neox-20b,0.0759,0.0759,0.115,0.1123,0.0139,0.1153
data_Salesforce_codegen2-16B,0.0643,0.0643,0.1675,0.1465,-0.0001,0.1677
data_bigcode_starcoder,0.0753,0.0753,0.1114,0.1096,0.0205,0.1116
data_bigscience_mt0-xxl,0.1005,0.1005,0.1788,0.1834,0.0072,0.1787
data_google_flan-t5-xl,0.0734,0.0734,0.1162,0.1184,0.0118,0.1163
data_google_flan-t5-xxl,0.0779,0.0779,0.1267,0.1274,0.0092,0.1274
data_google_flan-ul2,0.0661,0.0661,0.1067,0.1057,0.0055,0.1073
data_ibm_mpt-7b-instruct2,0.0813,0.0813,0.19,0.1603,0.0078,0.1906
data_llama-13b,0.0761,0.0761,0.1184,0.1173,0.0185,0.1181
data_llama-7b,0.0718,0.0718,0.1131,0.1124,0.0169,0.1133
