model_tag,lr,ridge,rf_light,nn,llm_pilot,dcpl_gate=ridge
data_EleutherAI_gpt-neox-20b,561.5371,561.5371,549.531,550.3652,580.0611,549.4504
data_Salesforce_codegen2-16B,406.964,406.9637,383.8667,388.6662,420.7341,383.8036
data_bigcode_starcoder,578.3998,578.3998,567.0102,567.5599,595.3047,566.9431
data_bigscience_mt0-xxl,488.8542,488.8543,467.1114,465.7843,513.5787,467.12
data_google_flan-t5-xl,414.6015,414.6015,404.9102,404.414,428.1601,404.8989
data_google_flan-t5-xxl,388.4963,388.4963,378.0861,377.9246,402.7061,377.9253
data_google_flan-ul2,347.228,347.228,339.5869,339.7776,358.304,339.4871
data_ibm_mpt-7b-instruct2,739.1117,739.1115,694.0244,706.6373,768.0906,693.7696
data_llama-13b,623.3835,623.3835,608.9657,609.3305,642.5164,609.0678
data_llama-7b,775.8482,775.8482,758.38,758.6984,798.4629,758.2961
