baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
222.9841918433756,150.69802981720355,194.83147962703185,151.78230977292108,127.94496341140452,194.83020572645265,128.4926584541679,121.17018974641356,128.2912402351966,128.49265432770093
198.16210734494135,149.4862459053166,194.15411530461455,156.4096809152949,130.57717030515593,194.15279915509464,129.59279226775345,126.80956382154656,128.74874244387192,129.5927974042635
205.11556743008975,152.6310505989158,196.53590991863535,158.06247031495695,129.96951841024028,196.53461765426476,131.15977561684042,129.38678027585408,131.81594777384666,131.1597603082502
193.9187201921941,152.7048057947645,196.0992738098714,167.57832759430212,129.38082585185066,196.0979675248776,129.24689435062646,126.7505148637845,129.67217045785677,129.24689426282072
198.09064998268565,154.35325807809394,196.10463636986765,155.20473229289843,132.58759036065968,196.10336010612397,132.67853221639663,129.06062949654608,130.44748731066227,132.67846896020788
220.05922919088152,150.30079655742847,194.1736381840977,151.9536014209056,132.364911539809,194.1722305661261,131.66293483619194,125.1633614526005,131.67428998798982,131.66283501866846
217.3581069476824,153.89221086639924,195.93031277549343,157.12382919584553,132.36190428883347,195.928952726136,131.40395552015514,127.44679367555511,130.3810648925176,131.40393806474952
220.91666081849593,148.73697247880747,193.4016881217455,159.42174677543164,127.28269732035028,193.4004037539309,127.35847563728528,122.82396034987735,126.83007230772238,127.35849106838748
200.88942053271077,155.42984158971726,198.62890723074028,163.18541272409698,130.71237862872334,198.62758389337105,131.01788324536705,126.93056441195456,128.50536538038403,131.01775728757036
207.20777403574,147.9501890303862,192.40445144209528,154.68414918808304,127.37779416399516,192.4031141449163,127.25137526949176,126.24296790806626,127.6001005522699,127.25138368609342
219.18785915550168,155.547051475689,197.90329745615983,158.9765921973223,131.01511044778718,197.9020306430095,130.9454471337051,128.45153267498927,129.7839948041485,130.9456443579425
250.5010101415634,152.08555895820223,194.25775737702875,158.8356685311344,130.2536559958812,194.2564301938366,130.04629722401754,124.89126861204988,129.7162598130474,130.04631036363793
217.91186404045757,152.42449188979015,196.17650368747297,154.57343630206222,128.5238712496299,196.1751481479468,129.15857806104955,123.37419698209968,128.0010641376507,129.1585422519542
212.3634932305289,152.86114932982582,197.7160157283589,158.93723612590827,130.5743419181154,197.71471482448536,130.4572964605076,129.6950867748931,129.88563248389565,130.4573955246849
214.44503227626743,155.39575427448696,199.17747325921223,163.0209539252149,130.4160431325562,199.17617617389072,131.1644348148112,124.59128770692186,130.80580157246047,131.16451752518228
204.44466726059903,150.4477433044632,194.3943436618501,154.09070805477762,128.29757406131137,194.39297995178893,127.75403351330168,127.25885338344524,126.97499779014764,127.75403064139108
203.41683990007272,156.20630516105135,199.93125791412496,162.34059087515328,132.66102978217518,199.9299836416344,133.6197246842245,130.87633421576814,130.51846674789465,133.61972095024842
214.64949646256113,153.4941108476466,196.17571367567876,160.79109871731072,129.56052452870986,196.17427445649753,128.71013988831922,127.1821007803436,128.47373232166208,128.71015876488775
198.0561174222615,156.55813974100957,199.8703675879947,160.93945338130666,131.5569557449088,199.86899215002663,132.63361999415656,128.6520911179984,130.55289235907833,132.63358959426074
213.80071464006025,151.95814372748958,197.55061099491212,155.9830885362522,130.59103807466713,197.5492591240981,131.50115484637692,127.21319174941571,129.68319308136464,131.5011424687318
209.76716364955172,149.97228775066753,193.79973086668045,163.08759120309782,128.24660143621446,193.7984136858298,128.58637171403626,129.16826677375067,127.08219802617695,128.58636077927943
220.16495480490937,153.2442172337698,197.88019867531492,160.16890711659337,133.72938591456838,197.87885901165387,133.28029468743998,130.9075858342723,131.41456942293624,133.28026956018618
209.43848346865397,152.0708095712474,197.58523770462116,162.36377359365696,129.3198012804309,197.58391765453527,128.75483545348598,125.18582682976198,127.47802415819076,128.75475638180873
208.2133935918434,153.8913399010567,198.6662518567037,160.17613894937227,131.18654993019,198.66496154943812,131.50024847236676,124.89148275008014,131.59799789120143,131.50025098407536
226.83595160765535,152.92548530866085,197.3346605324173,157.21360561949223,129.6331593682573,197.33329999252487,129.27190196576433,126.68290315862497,130.01274191392545,129.27196496264412
198.12141545006563,150.51286435697403,193.00731864227572,153.5170700973198,128.9694848244228,193.00607230676664,129.06044173227124,125.06202968147112,127.66688579132696,129.06043871501822
213.4466999877208,155.0064939906959,197.98475503783328,160.45073648732682,129.5532548564565,197.9834615205097,130.5932038243353,127.04561129669924,132.0122559156661,130.59321658910042
189.93532284525813,151.1620219762792,193.455335170091,157.4055348169031,129.4782122781203,193.4540327495207,129.67324181231686,125.74045701379576,128.24826834089097,129.6731521336856
,153.45975791077348,198.71329985402716,164.63296770097148,130.73142160152187,198.71199130280183,130.01414070692823,125.3235617342868,128.88662566574723,130.01437134015632
,152.4886243290051,197.1477833414977,160.27115887748715,128.77367939565968,197.1464456177898,127.97179408726149,127.15536059689197,128.43196251040928,127.97209604898592
