baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
612.5389002694418,192.27312900520235,419.1654432692164,142.2885373076846,126.73873163063134,419.1571693684507,178.22840440364573,109.27676596551828,126.16223151459408,178.22843332042922
442.0838928184685,209.38939552953548,408.2476532452655,162.83412566360792,124.75079434068988,408.23962439385576,177.67690350101137,121.88976947738053,126.19973615965476,177.67688700212173
428.3996468495617,179.74298604789664,379.6729427149715,137.88641237713333,120.41183493664887,379.6655005019713,172.26735800783632,149.86380592369235,125.35132361798014,172.2673338898734
414.5647078117128,187.506489659501,399.6111184691395,172.6159268881692,120.95221505473891,399.6031105614576,176.58258075276495,125.40011470649894,122.89817967798813,176.58256301190113
507.16795919852694,176.02869154683282,406.94325458378506,134.63801217114624,118.5217270998391,406.93526082340304,174.7110892862736,130.906698949179,117.2902986424039,174.7110402894061
558.7797393594703,190.85791050250737,404.49155068971737,154.12066614104305,125.10866766922162,404.4833911408727,183.94431886862697,115.20383579629475,127.75761539232576,183.94351794478524
577.4387982605565,190.8660295628342,394.00702998628265,146.8693917287363,122.46769563333592,393.99909461192306,176.02686682337944,139.20750865436344,122.86865510645642,176.02683905006816
581.7332423789062,207.11154304385485,395.34420295030014,155.09596703160824,123.3398159053625,395.3363287145996,176.92296212286578,118.82350594439453,124.1673984492449,176.9227933334666
443.747447614192,202.6185607742572,397.015115946861,143.86415814779187,124.57264316161758,397.0073284320108,183.8163490503644,152.21395728045607,124.1508162862632,183.8158583206492
526.6533626241606,208.08963093615947,419.6615517572228,168.33876158233792,122.70775865189091,419.6533076670009,186.79568680817985,156.73903820852266,123.63651762498304,186.79579831867105
559.557976377343,190.669007045937,413.3045597240727,142.38351841275713,118.2502810441208,413.296429777184,171.1741391789395,122.38714578875822,119.00685551102691,171.17536838487771
688.1979270725843,191.4824704888238,396.7672658874269,160.62240626570707,125.27006970645456,396.75936409892176,178.51724314077114,139.49680860931736,126.4324395892506,178.51741924190384
592.131042783934,219.09398339111573,394.04937992877177,130.72958837403047,120.33351559576607,394.0416222566705,176.3874083105614,131.69525875735536,123.23296295106788,176.38672043321642
504.8920645376551,186.30476486180265,380.9312865039651,129.3865538383984,119.27951918801251,380.9236700110259,157.17619378994317,147.215602630458,121.87464916155726,157.1771233692556
507.9427956305063,196.4358066315552,378.6676688475046,139.7091387299336,120.90042708851333,378.6602398329827,168.57629059133018,112.98488578245068,124.32165729130706,168.57734196898167
452.3699846940119,214.41254369602677,397.1755325099671,167.32975473747047,121.72184944183104,397.16750831017174,178.2624168839365,170.4536841080338,121.40467432892912,178.26242489014462
428.130392873014,187.5286997903083,406.3704158345937,150.3200245205459,122.2120097951039,406.3622940094635,179.8580790864413,171.84921149605324,120.76992881827933,179.8581015908448
577.6085601906594,178.52922955239558,380.99812278494375,161.5509854359541,126.56471726847568,380.990673124267,176.91185684017904,162.07355155567257,124.22676424320072,176.91225303897258
441.5461103734907,235.68818079855967,434.52849181406987,212.69767845659229,130.1131757046798,434.5198306397653,201.16171594569337,154.56572941697323,128.20610666261217,201.1616062581948
451.5631249695716,201.19365481601008,414.1738953235835,152.67087327457688,124.46187530810356,414.1656409513502,182.13710447592405,129.44304593801144,121.8579141229912,182.13702814238744
471.1194754293959,203.72883061237613,410.5981460810281,171.56843274015068,124.8907306227905,410.5900507130927,187.1533080732508,152.39255509984082,124.92364963737305,187.15324407694175
560.8312624708569,195.0296399561751,397.7576046366136,156.37260469625326,124.57011747102634,397.74978259783535,175.25961543128489,146.8898735322586,125.63864928492264,175.2597254588186
534.1007662997887,203.5960683141297,402.1987096203627,153.61511567881217,121.91777802524122,402.1908325430194,167.3360215917475,132.54631553329185,121.32858076098796,167.33576010638504
417.9777779835815,189.6176293164714,385.6228901223942,142.23774309907236,122.9210143672953,385.6152087016198,177.93926606462787,136.333567624477,123.14984909335836,177.9392744760926
630.2347093388203,178.44761289266327,413.4171142538805,166.71387322175823,120.33569130979518,413.4088670388529,175.23032105245443,138.68041192514667,120.95802828906062,175.23062581244656
452.5785355466128,181.02793532653916,390.9283943372759,150.7657333717824,125.25999456102372,390.92069219356176,179.74606408948142,139.02043759787435,123.90531611351769,179.74597372707615
536.9911714883357,182.81345558652245,374.0732452821843,146.75421436173423,122.58361219289964,374.06574062008025,170.6143045396661,116.6113514804454,125.48186876301702,170.6143712833915
418.9693915259788,186.77846603922015,388.8423458805325,136.61812324918932,119.03487304164835,388.83475571272425,163.5166552234199,159.72342586285953,120.50726736593712,163.5164921451415
,198.06409264822165,396.2786191350896,154.09043084598972,120.85473695956892,396.2707467790899,168.09705814554908,120.01285945027598,118.94979816556798,168.0987245293341
,195.8391103240103,394.1049214474921,160.1609728780601,119.07140935712631,394.09717217624,167.78466830548538,147.3507903725481,120.97943478716456,167.78603256933488
