baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
531.3095692142969,414.1777735981071,483.8350339146393,430.6839619895976,364.38565036756785,483.8350097171331,359.34598055442007,358.73749653583064,369.43022874852664,359.34598062069637
540.1742699206127,401.5262252202168,471.58809835506014,418.09331678036466,367.5871934656452,471.5880770381533,356.18001128490994,356.16722496488154,365.84812291687706,356.1800115938008
539.3799492942542,426.6150982069433,497.55387759641786,439.8760851150774,377.5929040258739,497.5539879650904,368.2383529113132,369.56032616496014,384.69045373089665,368.2383524366815
540.849556312615,418.2061345524621,484.49590038629714,444.2403224766655,378.66275016883213,484.4959666426109,370.41181539553327,368.0934640362628,379.6101132140853,370.4118153559596
492.32115063717777,437.2594611633803,488.92720716614,445.31305570324366,398.1862458502534,488.92723555331304,380.5813473514822,373.5944580868017,394.4684479167801,380.5813459015245
538.9338107799317,413.1305406271916,471.9219561896174,425.373317602878,398.739863293526,471.92179270631505,383.18508198476746,379.5139014187718,388.4705003683083,383.1850734585391
532.6843878292889,434.7811601011411,487.06558478932726,446.5295111930752,401.98238599040616,487.0655020637891,383.6193184641179,379.96765965288586,393.49425909676336,383.61931761745114
538.9398763061853,411.4093866254054,484.7819768441047,436.50521197107446,372.3163330425256,484.78207450974384,363.5366429637145,359.1284152278028,368.7251931069707,363.53664168532674
539.0911697585157,438.5572103867825,498.1047846252276,448.2974557457925,383.4140307394592,498.10478980664135,373.19978548224975,367.03554742955856,381.7709174354717,373.1997798324678
527.4445723808224,411.4648999524444,479.2602880093192,430.2700687085876,374.5388521353225,479.2602522032015,367.6622634500357,363.48643865923935,390.0257388786802,367.6622640323386
543.4997941250525,447.01529772046865,511.678101868179,463.9622816697451,380.85057226766656,511.6782508515167,377.3572352292889,377.44893408655776,381.589957130096,377.3572244226569
598.1574470443528,417.4735051762538,470.6484345918443,426.52863211437233,373.4013028467399,470.6483911327013,363.23104298174366,362.7316111892681,382.88215086313215,363.23104338894535
533.083295373729,436.4870076183377,492.8752599567386,445.3147275668044,381.5572925234421,492.8751659305668,378.46825892633547,374.9257294645065,388.8485985143292,378.46825720281174
537.5641368484952,421.86214104999993,487.96207001204,444.7897395871819,382.886427566979,487.9621061740011,374.4526979615586,369.381851017103,381.47776983011386,374.45268717723513
546.3564973274188,444.3620172100209,502.08160016277026,464.9090320716353,392.2419668568048,502.0816873953875,387.8793981917976,382.20694666366586,401.0768851083235,387.8793947562892
537.290220963611,398.15863005747616,464.2002602311245,410.2682448964852,362.0989286593823,464.2001052637739,345.5354952582297,341.5723192765011,363.8276966519191,345.53549536592925
536.4196647900992,448.3661399924489,509.2130557348354,457.6336036956099,385.47369699160816,509.2131486595797,382.4703484672721,375.24771564079094,381.8863308382689,382.4703489268902
528.753733321309,421.1505983590963,467.3564309717827,430.4021698825658,369.2290812674713,467.3561354345699,359.42582945746034,356.0612894126358,381.877730219677,359.4258300050391
540.2522560523577,423.47799989797875,489.90441472421816,430.2706771676024,371.1294835948475,489.904369900305,365.4051108855276,363.65915106397625,385.3307099113296,365.4051123717873
542.7041793412079,429.1419305071615,491.4822689736078,439.5775959216521,383.49212022326594,491.4822582013708,378.6328629195835,376.24294236733107,387.0680755729227,378.6328631099485
541.031254758124,422.62349438715546,480.6530918102067,443.48959988292705,382.6891354095944,480.65302937097846,371.58935100645914,367.8407723051778,384.8066020232326,371.589350790704
544.0839423767422,430.9387427075116,501.28852629378355,456.2050973881213,410.8015124611261,501.2884929335267,399.9997739129343,397.203877204007,406.6438909788231,399.9997722594575
533.4259661462255,431.2649455464456,499.2481045356247,461.51235797584695,391.26155500080193,499.248135470983,382.0158288754403,380.2779603243424,390.66064844769215,382.0158279776997
544.6582818238161,436.80394623791904,501.49761263093825,462.5375604562829,388.2296285298717,501.49769127760266,381.1107914461951,378.8746386067238,393.802619964532,381.1107913777125
537.6869689817047,417.31324885724314,484.0077416491851,431.40671503815526,356.4563073886287,484.0076691802311,351.7099030392667,348.71849657723277,375.230063363134,351.70990426635683
516.8877903275628,425.4388156627698,495.4991055165432,430.200631158263,386.4123438551701,495.4992556732875,382.0700152693397,378.5177106753456,389.5830376232544,382.07001506573226
529.57750567811,447.1416960513936,508.5690506183032,458.14702050510664,375.4142663107114,508.5691901711139,375.516143743949,371.5739893529195,383.8309535930396,375.516143096398
508.7145899847384,405.38699469409175,463.41849150481113,420.9150134469682,381.62205050812616,463.41844362480174,372.4259939778851,366.5416253554496,384.03197084749775,372.42598910068995
,427.23916494156634,502.2518284320166,450.11128453950784,379.70893811656464,502.2518897639765,373.41811623794985,368.5845348691456,382.32653158718705,373.41810548296235
,433.2039155696587,494.0454124900547,449.8794930875813,374.2897956275778,494.0454067556914,370.8359448889387,369.8400989170034,381.0433282914495,370.83592902142254
