baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
170.0197734250466,113.07380348255828,136.46653896126165,119.90374167498555,119.89319191431738,136.45247444286497,119.11483122657654,117.23621412074856,130.7942206660643,119.18826975321517
125.9635212804395,111.33903198141068,142.12938622035304,131.73177830079146,115.4333947003265,142.11326532032436,113.36395735581516,116.67055602813288,130.6446708975604,113.38293155249254
138.382577723357,113.0541487482467,145.50895845942168,136.6559861083771,125.32042688207306,145.49284113895686,139.40653636878866,109.97611035235364,144.83071235884594,139.38540213250843
146.46288176827258,128.06660984253833,147.69035533827872,131.56237620604605,131.98244636166913,147.67723198041588,133.81359478194315,158.77632839247454,141.51371363876078,133.8135919913212
136.79259606851693,125.8857368982178,147.4849142390857,129.7896026786032,128.44329224666782,147.47511820260365,133.1272937189969,130.23009869822772,145.95943933474396,133.13044943481412
142.1691552136446,113.51077292591332,140.82853191796235,122.98059737560162,120.00126253108613,140.815629761253,124.34196556973728,117.67510342569794,126.71435817570637,124.34615177122194
166.80681229581984,106.78188308089936,131.00426778201256,113.5885060571318,111.8426045012756,130.98826506067329,113.6911277247819,118.87743341008895,123.63516705029514,113.69052389348516
140.49941392806812,109.99163893202002,135.43063319091405,124.32085317472384,113.02322872193724,135.4177526276921,144.00005010507098,125.54520435487404,133.38236008316576,136.33534840034815
142.87774582294276,109.9688239278396,143.62943201423536,129.45522760257717,117.14957867793096,143.61340610268917,122.85602485993084,117.64413186489573,135.50565947830592,122.83604586228714
138.2836399425132,116.10548454234174,139.21136784762157,118.83458521381394,125.68283768002256,139.19730390744397,129.7816149202105,125.8689273835485,135.44013836015213,129.77979739625223
143.83814185285888,114.99017574602138,146.18472213260742,138.07790962558997,112.47797473651664,146.1679937884346,122.11601163515506,109.72628346938332,127.44363346614658,122.0197275924038
137.05897166463274,113.42649264693576,142.32633668316606,123.0724789950148,121.6442082118688,142.31186408657595,123.5599566352746,125.0575684398689,132.4910551930802,123.56622009044752
152.40442265445236,115.58487939845524,138.6182307116461,121.03508803980634,113.53365013628532,138.60393330094382,117.9711292756405,117.051567835006,123.2892694928232,117.97141117791178
140.52685933826567,123.22403137051693,146.57834648695575,124.39162192343169,127.06310680044596,146.56505267571902,130.45748673791638,127.31271387714658,145.32448196039832,130.45697536477653
124.95389916214933,120.25115214776233,139.16990967961252,124.68666735667716,122.71896098407775,139.1550975192864,124.6406749396307,119.61089360812043,135.0279645362123,124.64093808929609
141.30702248926914,102.58405811366843,133.91831397709672,115.40179317945704,112.89372997377528,133.9013607885983,113.7456420098484,119.47522785634747,123.35079888446408,113.7451031267924
143.5943820267566,123.0509945001427,139.27196144594387,120.7942242173522,133.46676066284988,139.25951528466737,133.5385812113167,131.79559791411222,134.47933697443656,133.53844793007994
167.8436468115371,113.54590546749016,135.04364180704698,121.7972759428512,120.62002415994672,135.0330412927004,128.1174182627224,121.4479029728852,128.67142328496092,128.1128963168897
130.8888814034386,119.2834726746456,141.41603431987414,134.63689505759115,120.71732459820382,141.4032184454375,123.2969657700682,119.16996861372222,138.3284260761276,123.33043097521312
135.2063038829767,106.3942942253956,134.60064781333674,122.57493706532604,117.07279448220878,134.58631282968213,120.52630156957672,121.66499488265826,127.4648908785995,120.52579934971445
132.15327480697718,125.78836400706768,140.06314662955558,121.9994254572092,129.81906474484362,140.04656231188673,131.09495511090284,128.38560453991877,142.040092507627,131.08416940936567
149.1943160416268,119.12182293032276,144.7053611693978,123.77730541816648,119.15803148582528,144.69062208831372,122.66065224190962,118.8132064735074,132.92182729021,122.6618301715698
131.30664458216572,115.18975925389752,139.0776695914645,123.38151096097378,124.83637833120896,139.06506880099988,131.16349269385267,117.43143353363962,135.97868926812677,131.1621114800472
141.79148457042842,121.45457997504003,147.6804755247379,125.82670175911854,126.77135132070784,147.66677530642775,126.56553836798214,130.65599272600403,140.0087504075501,126.56749225139886
150.3331243083176,107.5267928945736,132.48230663743416,113.76633379305731,123.13703900779636,132.46509773191343,126.94538675642882,127.52135943647808,124.5531935156315,126.9321417459134
131.1360778934099,112.98107720475748,132.82422185679093,123.15217030688254,118.57471150707022,132.81084596508896,120.58064809649436,129.56851211687186,128.65966284945068,120.64064780983249
170.61890070578826,112.53871608686023,136.4722444592427,123.73639646360532,114.71449316897775,136.4586049003332,118.55458206007764,113.49289326352424,125.4199483828562,118.55331618623175
139.4865301356741,126.03692770984055,153.15459785254757,131.55538428628464,125.736822315626,153.14488683424125,131.81874177033922,137.6470646679044,142.61426579763864,131.8488551579127
140.8103148637276,116.3618004521018,143.55269691307353,130.12937012989116,127.67264548813368,143.53828914875308,129.2074943591162,125.97990272871414,134.40101727908376,129.2001942623574
,125.65311709464602,153.9536654486443,132.0317791739359,131.39983748800378,153.93991196688958,137.5034614637111,133.54293635707035,150.19493333204676,137.49554181114732
