baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
401.929382211371,328.9330879593446,365.473823596587,340.44319028146197,337.63649303970277,365.475842225506,339.6030304154902,351.949091123551,367.64842066213254,339.5991621668705
405.2581285225992,281.287569742543,329.4360155914232,320.30717979786334,307.7057710064209,329.432093458214,302.9929356445214,298.84430346287405,332.14875154431235,302.990576308503
361.9322574451116,275.3226534570557,324.70120777548584,321.39659928113105,312.8439700948489,324.6951797377931,301.1400724220172,292.2693272537956,340.24319398352884,301.1348672081252
368.2909753755905,376.7128321235052,377.8480905633149,364.32298405504736,381.0249238041113,377.8491660297533,369.1388872372161,407.0572589452926,397.47113975193867,369.13888660400346
381.49940077696846,357.7071695699406,406.71954974743625,367.6981421719637,364.31276069915293,406.72604519254446,379.8648676484902,381.63587828467786,392.8455924987804,379.864537227882
371.6953213643924,321.35681958906645,369.3366434937194,345.78148315460976,360.8876975168329,369.3363700506411,362.7054209804032,359.17911940186997,361.56039288728414,362.7051000491603
391.717517267534,286.85585262052473,297.7049345734398,279.45010000140445,278.6750110048781,297.6983255799008,264.820912645311,266.81671531867653,297.4101352272227,264.8208413176426
378.67271225735703,290.72632337642057,336.05282913248084,340.867922996722,299.08053750075334,336.0528575569369,318.80498017406785,320.03374035641747,348.9410286282244,315.4276640145704
378.24910174616855,281.15033026097734,335.4842367792206,334.2207668993542,311.57781937788866,335.4804662272471,313.76188009232624,318.74478387692614,331.6694667423364,313.76112350855857
376.2673958026387,341.06047297342815,353.55302482455005,332.10993780503844,368.1334983163998,353.552628200053,358.9772855664303,359.1927408229277,392.80961673405017,358.9773028682672
372.7281234986358,291.69221655903584,319.2628781795729,316.4553479429345,286.2184585181568,319.25696629295027,290.0449307126483,289.1853682015033,300.44685868995333,290.0362136503837
383.1838395219654,278.78934533814163,328.5466761321986,305.15520349145766,299.467929636247,328.5431207378444,296.8260218801323,298.95722781144457,311.0100197205389,296.82591831570994
377.79770977840656,327.30185284769385,352.08145460113786,323.1416012985421,310.05402574317526,352.0806841568472,304.653410135439,305.61096896550634,337.7153012884364,304.6534180974004
373.96579196191414,352.67755729318674,395.5583631822561,358.07800983204476,356.12468360911845,395.5611075389512,353.2986514356855,368.7836161010472,408.82934922367303,353.2987019918851
387.423274462137,343.477438026298,353.361739432207,337.1615519140422,348.68445574811875,353.359946593359,345.32744140484135,344.8290484732607,377.0068470381812,345.32744483502836
377.5077252011551,246.9769211768032,305.917593899836,300.7579490298352,301.9985617143393,305.91109699252456,290.88341157337896,294.02821022412,313.7320951805446,290.88335053869866
376.7266530943316,329.6379603465388,358.3055212495034,316.16699938620803,359.0348136191184,358.3075771254315,342.05604171980826,342.06380022952493,330.76846406066124,342.05603721758314
401.4116751361731,305.50755701671164,355.07949347043206,323.67871101343235,344.1700194934863,355.0834776881572,336.0700895687024,333.3680635154785,348.2544031064375,336.0698058530641
395.6963514952248,331.29505369148757,352.35681936813194,356.67373192463566,311.67162901095173,352.3596714240277,319.64589180358695,325.09626237420264,380.93963095813336,319.6399312074557
385.1520646705858,271.48201595152693,291.590294367992,288.39419093921344,284.0363506410739,291.584213203907,281.62167881600465,275.2494896414216,303.44588464294145,281.62163926277753
386.3050883755026,318.77734219274134,277.7770932932272,285.25658395108735,346.0339149159781,277.76600704695073,309.40683336515633,314.19366072667265,359.2387831409809,309.40556094615357
373.68586977661096,336.0159388285391,375.1710712022257,335.30697716041124,324.0655292505412,375.17186263260334,328.61981252991774,335.70255715045624,372.9533011965173,328.6197722119935
396.5985225187959,291.66414004677495,338.40949608365685,344.7902364253729,343.5394496263659,338.40956220207335,327.9431240845034,326.08778336061744,335.0206740744763,327.94304923773853
382.5754054993144,349.5441604041848,364.9016621317673,343.10997671309576,372.4995555209575,364.90213595920613,365.0415189600233,364.6406468367051,401.6586492868464,365.04131587897376
398.21164385654725,257.95748346939484,281.22260745061067,257.32204319633377,301.31720426617164,281.21299706798936,286.93395561196536,285.7931789922536,303.4389144040841,286.931744581456
394.6703304481855,329.71290286164464,337.9418825498459,343.29006898191295,334.98526230789935,337.9408500126263,339.79678735370726,330.62238342053683,342.6674146379271,339.79347113697816
400.891837261131,282.1151950788715,315.7334415294718,303.50403067760567,280.85890488197134,315.73120074184817,279.6300284593839,281.5949341033317,307.61958280176964,279.62993555151957
375.79135223622455,385.23252503413414,439.75413671899446,392.6613622530368,375.80450193367767,439.7615057766643,391.853699545435,440.4715299213111,400.35041106427224,391.8470889791655
368.8364140753717,352.14079915890153,367.1663894294109,354.07035215598967,405.2774106615947,367.1663228351797,379.5146514713546,378.2387023848095,380.5902268999427,379.5146727327886
,386.41107961425234,429.25436930552854,395.52244751616126,393.4801418168882,429.2579859200609,399.35003104361897,398.0139901809991,436.0223188432615,399.3507379021306
