baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
233.48508896531752,154.36527361401753,203.08796160855348,159.95109661400437,128.8157229711401,203.087070509594,128.58079379418203,126.65657257127884,130.25711559367173,128.58079040718442
204.96409939952184,157.5882955885854,204.68661045108672,163.10664914381897,128.41347713320334,204.68568896767457,129.64176310418452,126.59928522856713,130.1624812333921,129.6417764382157
198.69593615769364,156.5692374823404,203.56973098177053,158.3416277606447,130.53173499196078,203.5688330465156,131.7605131522761,128.40830888482031,132.50882091977138,131.76020203939493
225.20019933942413,155.72470369639953,203.1202566609812,163.7298963943516,127.63144968323364,203.1193449129347,128.10664440295085,128.43117921190418,129.0013372004004,128.1068267153137
222.7463413441225,156.95660821394782,203.6800537340253,157.86818513850048,129.75610459075082,203.6791414703305,129.16788948107535,129.67960287600852,130.60356194815563,129.1679134607168
227.75309180269397,156.55876593613186,205.7159847742962,164.04708292893125,132.24813163703658,205.71507646530017,132.72702630951875,129.4465208537008,134.1837542338868,132.72706224270462
218.9102927626765,156.9868838709492,204.8888813567741,165.36271991573793,130.32872233045313,204.8879724841912,130.97575215985873,127.78148166035804,132.90932257896807,130.9757546238365
209.6790259462732,157.51675180431917,204.5444589636691,164.11126085496792,129.622593487766,204.5435481479336,129.2623343825045,128.9529263442245,131.24563357656987,129.26242826273514
222.42753813692,157.3522335081303,204.86605797026377,165.42933437690385,131.32031139123768,204.86520591641843,131.5266965705241,130.21402452362844,133.88424985353353,131.52669542934734
204.4779858568056,162.17673096763198,208.91521982592525,169.80385266247197,133.48135985214995,208.91437270294767,134.0555964777405,132.16858533152543,136.37240794875652,134.05571141510094
233.01857988183593,160.5503455362472,206.41487358331187,166.16927489721704,132.7792518870666,206.4139940007664,133.26203500234055,127.50821970603688,135.61816041169155,133.26203343119545
222.0788597460268,156.20252001768952,203.4040011357568,165.52897215215404,127.92748639806292,203.40310525508104,130.3371960923643,127.46695399525292,131.39349782663058,130.33714842290357
212.88815360863052,158.32369051030196,205.4377630059451,164.46054936538388,130.80815259125933,205.43685744751627,131.71314081005144,126.36722347329288,134.06528005825885,131.71313661219605
308.2598417620589,159.62590311076073,205.99490776635113,164.77888009541354,132.30898773164333,205.9939814066374,132.00490154264278,128.30589170431028,133.74702760415403,132.0048382094095
222.00478334518405,158.78649586802808,204.79835800219183,162.6427852570704,130.75009475017018,204.79750386677784,131.622684233434,128.54202993562055,132.31732251817107,131.62266556802183
214.78824380603265,155.70186517591068,203.4159547962304,159.72690168609182,129.5439654426728,203.41508377108187,130.89276272246704,127.91028309537649,131.04484351572123,130.89277401495423
204.43474887129275,151.26038583352042,201.0593007548155,158.60338887869787,126.49969519687087,201.05833675634165,126.70909979441852,127.14004230471814,128.1121202986551,126.70914510299824
213.9038033130528,159.36389197837246,206.16071850076412,167.3700646733565,133.86866902788773,206.1598576079972,133.59228254437875,129.30410085679782,133.98445936247057,133.59227970454282
233.142942892558,155.56345308500596,203.32377019459744,156.54442618133268,129.66726388473873,203.32287009450772,129.94811848246025,126.44466339476747,130.68403503965845,129.9481738736225
223.08513737739807,156.52014723835038,203.3440108642074,161.66476662840375,130.88254455884854,203.3431315368779,131.17659951236342,128.700564758227,132.98850519913572,131.1766103946806
222.5823209733604,157.07113839822304,204.61159589008088,167.29999219157227,129.38408211674337,204.61070898632423,129.9805812235439,127.91721793344256,129.8203681248098,129.98060382954006
263.6310021036667,157.52951766569643,204.28586721616676,162.6776438612339,129.38615209123705,204.28500251498193,129.41350624657505,128.3893768320952,133.66783063406544,129.41366663273573
222.14796763970324,155.99877651939087,202.80976194235015,163.9567256265419,130.12917248058238,202.80890335097124,130.49076170780356,137.63671845082968,131.4898053929853,130.49073924077325
218.2856625159903,155.55677685330514,203.41929834596252,157.04762761220022,127.76670738073,203.41842279889343,128.9535093548604,127.61842187696593,129.5730448794054,128.9534699571962
236.5550039864516,159.2759219140112,206.9820066960804,161.60892278023954,129.9855262405821,206.9811082701658,130.4185394889281,126.95657584688996,130.43592908296003,130.4185418728995
227.96794464777605,160.02641003626442,206.94365609106768,168.12285030431102,131.82047203052738,206.9427846940284,132.8884086615138,128.91216642863037,134.64396406614227,132.8883443792048
235.0633063414646,157.38981129967303,205.28625108631567,157.80272811533493,130.3297214407801,205.28536354544352,132.19675945648405,133.24617878161482,133.48935984143483,132.19679648184072
215.1706699885684,155.06656644519677,201.41518601627936,160.12349427653345,130.40032758905795,201.4143232407251,130.6839797426259,127.004581648785,133.2647455579943,130.68389796032255
219.71138955237296,155.2307857117992,204.17018752531672,165.8540512194277,128.73827859165036,204.16929671845116,129.51209012031578,128.55558148682687,129.72989313313388,129.51190677809842
202.56141578658276,158.9701410037418,205.5829620994273,163.08995968409843,130.22127536383724,205.5820724992565,131.2068201372792,128.64471541764627,131.6528564771929,131.20677503722604
