baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
557.4275527573933,427.7297764763596,494.11245435445926,436.02811320989093,383.88153643302707,494.112408980456,377.1074310170411,374.64414458222046,388.1079628235967,377.1074310719732
573.2905405213041,446.20782726803384,512.3238182380334,468.7374950101204,374.6581251926688,512.323725007512,374.5364282167988,373.85726609193,381.7983344923898,374.5364282031695
567.1208875403527,432.7924543509844,494.02065671435093,442.91969490347367,377.5416594911099,494.02065032764455,371.39872130333646,370.5623047206965,390.1065493448035,371.39873073094384
555.9374168536207,439.9574599223253,504.69997783796566,461.0749355239474,371.1624314420089,504.69993127343525,371.0794281081939,368.9065479218208,375.2693162583974,371.0794262255824
561.6193616779503,433.4943156727128,488.5681406220128,443.4795748967042,373.0718266504247,488.5680354253775,360.76532640385904,358.6922892926169,373.11029906837666,360.7653258533652
565.2984500442633,441.6645543719369,515.9564007589274,465.5444549411823,393.8138594203981,515.9563641215448,388.249970525893,388.2275936308729,404.1928135214343,388.24996977519487
561.6879326184119,438.78550712613327,500.3610882618741,449.1695832145344,376.5908731794317,500.36103166179566,374.687759686768,374.41421702264375,385.8223220040728,374.68775960776145
562.8930158274859,449.1608821395678,508.5321102569339,464.033139229318,382.60508079631734,508.5320555368063,377.7388776890028,377.99150510352734,389.23529422795445,377.73887106522136
562.1080512587299,440.30942047042765,513.8719440038005,459.4108642330812,384.02035900761706,513.87201093602,380.4761146788171,383.2853028712482,390.5252384901779,380.4761147166061
572.850442042473,465.6079913904248,541.7151021555517,485.59007099481056,395.8364400487308,541.7152418919736,398.4858715083312,392.2116577957136,410.73121869837433,398.4858657961897
556.5870082221427,448.5582005361931,519.3559057480051,462.8756276563175,384.72898696493394,519.3559208934793,379.0236559844685,376.1168981777452,394.5155489098251,379.0236558345647
551.9444586608864,442.5537286806943,513.0037495189413,458.92771432319665,366.5020850024345,513.0037379436712,366.4699550293817,364.4572971900142,379.0322917824535,366.4699529017994
563.0445687734821,442.35851350552167,507.1426752739068,455.56876616536175,376.99360640787745,507.14263266079223,374.4584902912532,378.6151973072538,387.35974120332935,374.4584902302127
824.5279504869392,442.2422458075904,492.67806188566186,460.0001166177685,388.2000117434761,492.67797929989337,376.5846048447539,374.4659865303221,396.80773807104106,376.5846013708442
561.9248756817464,444.63103388155184,517.6621847352413,464.11603427514063,394.1703946401185,517.6622838155037,386.10155300554305,385.2378404771952,401.8842887182913,386.101553355456
562.9905823744269,441.4426808275523,521.1371656364327,454.6420545664396,385.98354659932846,521.1372392078206,381.1041923846748,378.05103962141453,386.511590754568,381.10419273660807
565.8811021016973,406.51231888810395,475.7277419131651,421.722712109039,353.82682169368024,475.72757213597,348.9374371284669,349.3445244942755,362.8942629463611,348.93743806081994
571.4422043621055,455.581883853178,525.7301041765435,475.9308473844333,404.143320389934,525.730198014828,395.4289343097409,393.24037726219706,394.7871098939392,395.42893439386944
549.3996211158884,436.41583834785934,511.8348799165663,451.2461721846489,366.6157235237628,511.8349117875502,363.11130579230183,362.6640092714236,373.80528112315415,363.11130803141174
557.192406703949,444.13000355710966,505.7348372758775,454.6703259027677,377.7125264401945,505.73482055093586,374.3773457001125,371.08223300309425,392.7792127014029,374.3773454692917
562.5724260862302,434.28357405745214,505.40074604656974,455.1072256631898,369.42777055302815,505.40075421369704,365.09150762121976,363.0181961795684,363.9412305591253,365.09150622502546
663.3020541064179,451.2227874722768,530.7676952024912,470.2126125369432,383.887441193854,530.7677763264159,377.1394373338489,374.97624823526974,399.5082072693378,377.1394316217121
565.9617751955335,442.8292220777483,515.2110585531187,464.1510305698858,384.37309813454897,515.2111250660001,377.53624717017453,378.21393441652464,390.6272015805515,377.5362482397912
562.348466313853,434.1580181273431,508.0863714341792,439.5849622621774,365.10174283007456,508.0863959344299,362.23955967742125,357.013304952769,366.2244074370085,362.239558362097
568.5550567371878,441.0221395104114,513.2018039117345,452.2132248479556,377.7832263600635,513.2017819505709,374.1438784893605,369.7897263560789,378.9181175747629,374.1438770862851
561.9605668798639,444.1184400591072,516.9400456181271,458.7768694652296,380.05862397906225,516.9401138254669,375.5785516355906,374.1532079811804,397.0845454594193,375.5785519006535
557.9508095275056,445.10160733086536,521.9093357150305,459.78915998505704,383.9115225602702,521.9093600649943,380.95800814236543,380.9149331920056,398.5230541274772,380.95800685248287
562.2814028551146,439.3322862790037,504.59746817398127,452.8056301309529,386.89608796221944,504.5974728389097,376.5823325366087,373.1954025634103,395.4708894009136,376.5823324561408
562.6440294329955,425.65395888764846,496.64629238920594,445.47595547812733,356.9318893342092,496.64625012456133,349.1227018817972,348.3563450142162,355.00280520192075,349.122685994493
573.0373856356932,450.61737829675303,519.642769180413,459.46477603141335,378.41745507036745,519.6427892305696,377.1394035578011,373.37843999681365,391.38685627437064,377.1394019362703
