baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
219.91744880474116,164.03577141667657,207.56766100347295,173.68965532643193,172.45188166901548,207.55722893595583,172.01843882103697,167.55741772642625,174.19919797675257,172.01652146029596
232.16284684361375,175.1177119301317,211.2589440474277,180.27629963110036,181.04960802583457,211.2525308832516,180.37194772253625,182.3615640391792,178.02863912953117,180.37203888607016
242.45462731971568,150.17079547714238,192.09143070070317,163.0083019121487,149.57168184155606,192.0827363620062,151.82778032607672,146.3310567694746,150.5823321333923,151.82816661308658
240.7496274201994,171.9720053105301,211.74895015331057,178.03550461684694,185.11751111756433,211.7413775653833,181.17491868194537,183.31595995776453,184.2053535235978,181.1750400691399
216.9618089778188,164.37624299721276,202.02054535317345,202.79611362854905,165.9474250475575,202.0124178208281,164.660446106052,161.03473166575964,158.95244359265266,164.66042408386016
225.32838646686557,150.98963161850983,189.42523016031657,159.11631706569946,169.64055173300503,189.416364997979,162.958841212929,154.98800548029965,160.18138288064964,162.9588015474574
217.17143940655856,160.9655294551818,206.417002465603,172.34605414034613,173.00606943064207,206.40793314704055,169.84707179334148,171.96542939800295,171.26840568458138,169.84683372077163
222.15384048150963,156.62010845623783,192.3558293968014,182.84315248069672,157.80307646721633,192.3459130861895,158.48753936947,149.99239353401333,162.75439715059142,158.48693425678522
223.18974093268375,146.17756660294464,188.67455351532473,155.15693455997135,151.80821984964123,188.66475688465644,149.9554870992197,150.32889267054435,151.60968868794762,149.95580784964113
203.29931557985765,155.68526190190587,196.89929779872267,166.62802869054426,157.10957926360723,196.8881117305083,154.98733536489158,157.8772979265912,152.59903955578716,154.9873856315212
241.98705847181557,153.42220184297125,189.24371901003067,188.34144960764831,156.78346225233156,189.2356173946912,157.2701027626227,158.56508029157035,157.51776333311523,157.2700462367668
216.3286705807865,153.40757630555026,194.19424820671009,162.60678511616769,160.05879284946022,194.18737127507111,160.84753031876065,153.5159902770206,158.43183415011163,160.84792072510956
252.6676088577916,148.45230778487095,192.4628597799686,157.10274125630528,153.44501768983272,192.4549896706665,153.64183669987406,148.07788711453375,152.1978906414671,153.6418470990936
222.85247526911743,155.38967141049903,193.84042235777125,181.58201001257163,166.64157419359833,193.83360602263343,169.1270670508745,159.32642380114208,163.5958119919439,169.12585477281723
215.55071478751165,154.12022470992974,190.8461332131856,202.1146745864282,157.18378265179834,190.83800037145184,166.64986651215185,161.6215899828628,160.50206466928884,166.64812496342415
216.75832344893465,164.15411046119823,203.34526880672496,170.7265705323716,175.1747116429951,203.33816796337513,165.81532256311894,163.89598603429317,175.59123357601612,165.81727156631666
215.1616170310684,148.3408394161721,192.7195556348129,184.7537169705011,153.61591056750612,192.7110293435433,157.36297872490354,154.70007499309096,156.98747271488094,157.3626008181239
215.75044048520093,156.99604324948672,194.37438986844424,161.1423229099195,170.1046606079667,194.36290266265144,165.16411339724377,168.36463470449104,162.14187432157672,165.16412785222954
227.95360542251356,165.07317012772785,204.27548893071724,199.23280726186556,173.35687631380367,204.2685296219838,174.3478884027643,186.94721860361696,176.72202726563296,174.34722470097444
195.68348506457167,159.19176334648918,197.58977693089528,168.03293538285945,163.42644170617652,197.5814239214473,164.89822752268432,167.26412959060772,161.25705349227252,164.8981713788807
222.1050718854524,166.0653925928283,201.16632909744976,175.38028991399338,171.25298268972443,201.16006639505312,165.52817698575166,165.063779871449,171.71288202494588,165.52952510021277
222.14916420094545,145.16089025802668,187.3118801637247,178.90252048881862,154.263821904643,187.3028448722528,159.04114010913526,152.73636437315918,157.75238596628466,159.0409981820839
204.4084197530888,157.95903272921953,202.88781883694716,170.7540778713991,159.11670498457983,202.87829963374995,160.10596717339553,151.8369847923712,164.9226448658729,160.1064306033421
229.07885816169852,154.11042242083897,188.06317839544343,161.28248640060156,161.8326202661204,188.0555431748731,165.636450950799,161.2282048106319,165.9698600311835,165.63628752166008
222.1102358974096,158.13514925336284,190.4437124147509,163.74961352633963,170.8174766452498,190.43680091766163,175.73086816548252,159.65483916305016,169.3149541433915,175.7202239198056
217.766553636416,171.87072872437193,206.8931115385122,180.43100972813383,179.03292371030284,206.8854340856421,187.98990383607855,179.03149529093687,177.3818435281826,187.98310978543867
198.93242891627497,163.1094400049676,200.71734566513547,189.6221863962635,166.6954267981079,200.70915010042552,167.60185893920018,163.81534297437287,165.07836318405788,167.60176305482884
218.5189795118247,154.1488359226948,197.7207235919775,166.1258879627233,159.6153522696343,197.71027786431853,160.90647524127942,153.48034431004427,159.40106737389195,160.90601472052776
,157.1087066220472,200.1682052201146,171.1389735287729,163.66764372222812,200.1589005835267,163.6357446594702,155.1481039739337,166.34841987375515,163.6355162790015
,161.1400045925833,190.2167078020461,185.10465691119785,170.0947031928285,190.20910550492883,166.50792141220572,158.87374530610066,179.91468144883146,166.50808388411147
