baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
569.4454682891211,200.1136089212316,299.47885293252295,201.3125244459657,174.8890099639489,299.42056886725305,231.7985535989338,207.5639964709414,220.52076437135065,231.78737650621076
655.1524923354661,215.13970391787757,247.03163020304015,196.1023601461401,161.84487122904164,246.9936797614204,230.1092774145488,205.7708430923762,193.20002551731665,230.10982243448245
943.7411213366436,216.17919200034353,298.4833792175054,199.51752522387585,181.8752678865876,298.43726778566196,267.4340936879979,195.3012064919218,216.74197569970383,267.4321640920905
558.4483728331387,216.8003080078476,273.6505458436773,197.66888390209544,192.8337451455907,273.61596096604706,247.58583069254715,254.0353909580971,228.19973765921247,247.58790990905896
516.3124397838573,210.19937234316183,293.243716763473,364.6878795237164,190.7950559974682,293.1967388520078,259.02734532841237,205.51150492414055,222.36599975423312,259.0271783221457
547.4381989040368,213.37616349379303,281.62468592940115,194.70734604055636,176.99270968055768,281.5739531333053,213.9496181518944,188.30757186905552,198.60440442841832,213.94944937918189
539.4189506091719,225.7942512374481,316.6806129676101,198.86886878426023,204.5956195348893,316.62336598789807,283.97922462088826,319.9264588153712,230.73007534238891,283.97732382376006
527.6026419588592,209.5993167711169,295.4487674616048,278.8712700566293,176.63717904654834,295.39813431209063,274.7128574143736,196.9096975145328,231.8269583666916,274.7088322185383
558.5700347069338,211.6686842840715,306.47149470499164,181.55160019594229,186.11386207417945,306.41753856723983,270.37898121058606,247.51280202780657,223.37295207857753,270.3779972589323
305.4605075602032,223.09421846331156,310.88553730004656,196.0077856088529,179.76263525965564,310.82808983589206,258.00412381218734,214.6190682607943,210.99864363470004,258.0044358326729
735.2937493072437,211.7058422054548,282.2771632397372,326.1166009824585,172.67685778287068,282.22616475459444,268.060743181788,248.34727048926416,200.53297040142883,268.060464636254
496.22522196566314,203.64271182129724,264.5215058164177,177.88182933456375,203.0429163797172,264.4822565537469,272.21898332149345,208.49398013879463,223.1810261595624,272.22100015945256
720.1338451757528,210.2936692126112,279.0097875451857,183.42030372047,187.50956475721935,278.9669872992346,242.76041696963912,236.6098752195712,206.2530378297529,242.7602414457552
551.8797642688417,224.7741675469219,275.93607342884746,224.90626792463144,205.1217258883169,275.89559436681554,310.43249575558116,217.45642676317308,246.53343791291044,310.4258527923255
552.9441143834946,219.23640630938976,300.4594633653061,432.97138866502934,176.36819623715726,300.41335678006334,289.60698024102805,221.79462211727937,207.5447406653392,289.59866467000705
541.9851744221156,208.6599178075109,246.779821185769,185.43492170723027,179.8525354799008,246.74173256940784,209.5961640732176,195.8231302216816,208.1595389630504,209.6138164469185
491.2257063405622,213.21701998831077,304.7286659920179,301.5919617423064,192.55063788769988,304.6765791654592,270.5448729184474,308.4560693151176,250.96403046186913,270.5431061277786
512.5156067641777,227.1551552903372,316.0056004182714,181.80002716911125,205.99815342143003,315.9440985496727,271.6215871397983,255.7551676792532,233.72790504013489,271.6216878739064
597.9059861380117,233.87571892588647,291.07339961842183,301.57643691223967,214.23713596273907,291.02804936243587,262.6021724191751,415.8032962749819,253.22013359593697,262.60067736972485
320.33848973688475,222.36487212566436,289.7327778005026,201.59271683858103,199.8620324988657,289.6834596717561,261.19454329484455,270.27888862496576,215.05926535053663,261.19392505482125
516.5370493406799,222.84516197679548,277.17284859575454,207.12628688147709,186.37083373993988,277.1316971023974,219.41387702353947,251.3252776069678,231.77977787507237,219.42793782527676
576.4754463526145,230.5396770937024,310.8753183125184,314.140376747537,195.8247967822735,310.81871493725527,319.8522959961435,277.24703983645236,232.12521572953744,319.8510536283103
298.5096124899585,226.69096831858235,311.9238996065664,213.22992081930016,188.96390848150577,311.8717021545468,259.98305600291604,193.21206300154745,218.61483568607457,259.98717397549143
537.5438428452213,223.14845818664057,268.9367594154919,190.814592467122,185.5468540249239,268.90110267979605,296.38460863814856,234.20212393747465,216.1519987568152,296.38379897485726
538.2023390237321,225.9065156120876,273.7162628995883,200.5551060811277,189.9033792862159,273.66841236148605,303.74924419328494,225.0773096949013,224.7040893146619,303.67071252128596
502.1992298486118,207.68232558156953,265.9654872792358,183.5565141908066,181.60397230663213,265.9195815825172,289.6600492225315,267.4051030374095,205.2688750963971,289.6295004461153
301.0048980288758,215.02609470535683,296.3104310899091,240.388600816929,182.1173932242416,296.2565933466555,273.2302609828652,230.46195469411512,210.43006775652367,273.2299385078129
555.1069869502556,204.90811739200444,302.6157719504344,185.4354277052649,183.4316688067992,302.56193352465255,267.5503166786368,191.34889329403316,224.12298626227556,267.5469871207573
,216.2989748846267,303.6997546454277,197.88327190132657,207.27439240353,303.6460426559556,272.65967288240165,208.9294115184522,235.13410300986845,272.65671512194
,230.70370313274103,295.2257825306831,299.65872710893035,211.4637775944467,295.1765258550897,304.4356244440297,214.2311573358474,255.8337229428219,304.4369992817996
