baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
500.4811670575961,417.3806825004252,448.74902353484737,410.2222455359413,459.28812658614527,448.7462701536333,432.8474619083988,423.0801461957669,464.002962082799,432.8471063973317
512.2744324716156,480.531906831908,548.6311937149171,484.4922990378788,503.36786362177605,548.6357836679952,506.1034141599597,497.1286918800231,505.5157030354975,506.103394147669
514.8635345216693,371.8882395454519,415.8311432029945,375.8041120545852,368.4249409028532,415.8285884112533,374.72011230106426,370.1091558274335,365.0644293848709,374.72008983234025
514.3194489169712,452.6188176474312,518.8938485833626,466.0092031299956,509.0138299138309,518.8963927475186,484.05776664235185,482.0347564577858,500.1387851524636,484.05776249136346
500.9959545335646,407.5234066086025,456.67959457620503,453.722218360496,420.7326179476899,456.6795287921089,411.7121004174489,414.95565327214007,397.0643110748371,411.7121008078359
505.18442613695566,357.93610641004335,403.3704426252252,355.70748314216706,457.41043892115226,403.3688899572326,412.7986119690564,399.5857778336625,391.4283315011297,412.7986070428302
496.6341141042788,397.7091249525498,459.9859730573645,408.0801348933728,459.4831528448757,459.9856829903564,415.21059494888226,414.2804916578438,425.3456011445176,415.21058367893494
507.4590259924266,361.46999465182864,387.6246182928518,382.8096905671513,388.6917290852485,387.6199423381374,356.5258093226062,351.31957823831124,391.88915863305186,356.5257600428824
499.73908037843074,342.16982148187316,400.4070176623131,344.2405736769558,370.5172298745392,400.40360970150937,351.2909087847244,352.52431166910577,363.2576043415641,351.29083249180565
502.2335520576119,357.68910326922105,389.9929842351024,362.873244420558,385.1045160457053,389.9861900487064,359.5294454895718,363.2700440829234,362.1187665367089,359.529450760004
509.72179767316766,378.0126402774351,453.3909583677192,450.69762190487273,396.92531631815706,453.39283231716064,392.0318421493081,386.3346915549494,423.52497545140824,392.0318375985216
500.21563265066845,373.2737455274156,444.6612744578803,382.5670697832656,406.5219398876531,444.6626445511309,401.4817492072574,399.97367242375304,400.8052723793774,401.4816858646641
549.1264831191901,381.29671152276313,446.4162450441872,388.9298364282037,413.1455403208536,446.4160510464396,410.5207838989162,406.3419362934703,393.0339539317096,410.52078271203544
489.5816357494831,398.89803620484827,462.1133536130964,445.9764623107326,457.3855409974984,462.11507938672514,432.7191743395902,420.15355758297943,434.52068588726064,432.7191556955268
498.5885454563124,377.7798845010439,420.1902907809719,428.3441311604234,410.4106250115793,420.1896229346371,400.9010143634398,404.9914078487154,405.7664797848668,400.900698387235
494.27590572856593,411.9064313523935,493.6486509748598,427.9691870440083,486.76011351188487,493.6525536425339,455.40779493449304,452.03000037628425,490.1708232616341,455.4073195427419
494.75609963908914,346.5762554236153,409.7625045456097,405.556256056002,380.2595952641485,409.7592615681435,362.5855003742405,351.4211165922687,363.915839776912,362.58545371148256
496.2463797591173,390.2457672854567,395.4331801442172,382.26383348904767,438.30089500125166,395.42733496167,390.3952338295372,398.20623807162264,391.9104922610597,390.39523658355137
498.3934106838276,440.3707679800669,506.3986077700959,498.3728469814024,492.6193261900563,506.40158416399424,475.9656223033215,477.5697150340867,475.6038514082485,475.9656678767135
513.3272949640536,405.1927822742007,465.2124496010638,411.0538596422211,406.3636727266635,465.2127106104252,415.3033475098269,410.32935910745874,428.9643318941961,415.3033470187708
491.3299066192305,430.1267147219939,496.5971332915563,445.2294663851855,453.5733068876177,496.6000475149497,446.51149732505,432.25373995284474,450.7850284284218,446.5111967294981
497.46077637027014,353.2676714468239,421.7887265080638,415.3101809534059,388.3144988654749,421.787071500693,374.46827891701855,375.1742509195489,382.941083432018,374.4682638364598
506.291735054798,384.2765009189365,442.9520149468401,391.12684331554806,407.6486243180744,442.94963084219626,392.8221686366515,390.4951001242956,426.3831827284563,392.82215220147174
497.1836332431873,340.8464064630088,398.6124472805782,349.23362937248896,380.1952222616022,398.61140989693416,359.2924283427126,355.00337345961776,395.1578174676232,359.2924164123038
488.97763037345686,397.29416156445393,444.0574524245954,404.5792632593373,449.74913867440017,444.05875540507515,420.3281218389622,411.94159997517966,448.3758172627547,420.32603365102574
504.5004088735738,459.4389848134913,516.9355856336238,466.54695324447727,478.4577491144618,516.9383781396944,474.97618431237646,459.25395328589053,467.01318885752295,474.9756984945165
498.74804381585074,392.25827688819606,461.3334914334897,453.5950905261183,418.3629806543004,461.3354899208094,417.9510816968501,413.13690602847345,423.62087258331854,417.95108036578273
487.968931292456,374.9689158414322,433.62659894960893,382.1723295940149,407.5352751646959,433.623913953388,391.7871019440257,387.81325554469504,399.19092579973585,391.7870856903123
,386.07442062259344,445.9791974733099,397.9741403653587,412.82270740795775,445.97677371037446,414.7556189509438,407.917552598327,433.72917418061104,414.7556100914502
,387.956293619756,425.3009247556427,422.7529972119033,416.9020729053741,425.301360958895,386.8265180514358,399.2523309842192,452.3618229342556,386.8265349552162
