baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
526.845792152231,206.7310165332408,385.24638786116225,145.88418370811985,128.43073524838124,385.2399288941279,130.3777836412071,123.36415088092474,127.8560296355588,130.3776870473981
663.004332464892,200.84657061674625,391.46819925849945,172.12839249113395,130.13019277194223,391.4614534165739,134.79059860218445,125.6396284705658,130.8040559632594,134.79054126326986
610.7718690858326,199.2879650046476,385.1760996369856,157.91661788710772,124.49096177924083,385.16953672758626,130.72065438343063,175.32146649231794,126.89077549751924,130.72047622818923
534.0832931987011,199.4906503852077,391.7680295977825,150.64862554188352,128.43674275620717,391.7614891452579,132.00646555844452,135.6347462254561,130.19918760321508,132.0061989097744
513.9056718275443,196.6726638514425,385.72945779380007,159.68662237560707,126.76141483481706,385.72289376355866,131.49977823015482,150.20788439050958,127.83845683461055,131.4997640301262
530.2474110668761,204.73825159929956,390.4916821206256,146.99279096768197,124.74114639713424,390.48508680341934,128.7695962815738,180.81105033679825,125.59182330119512,128.76959443148678
431.367026797322,217.0598137923485,398.35769226180736,153.69850872284644,129.48968683806527,398.3510089139549,137.60792899737265,166.01376081908057,130.73287659660826,137.6074489830653
593.4500316201758,196.3049375727961,399.31507413049496,156.5698645601045,125.63192956962628,399.30822380859126,131.69349065068835,144.08363152340337,125.17575875334634,131.69347028141812
502.20592262636063,203.13165881478517,379.5226319165596,166.44498154066127,130.1937159951584,379.5162770965077,134.99551688145465,153.44048700296804,131.51421561522417,134.9955650779122
502.90523905272175,208.51897167931196,399.69349467996454,159.30148128718423,124.54047892726248,399.68665729051776,128.0480530178501,100.7332820835579,125.24953475765332,128.04810602039169
588.5018200336841,202.1318502713989,388.2614267077718,152.79565080144292,124.72779967658954,388.25492928829493,131.8961975867061,116.6575324526161,127.7947055678352,131.89613250441994
684.2528229202097,201.47909320855533,380.9337637906063,148.78554759466715,125.85564091876702,380.927323701131,129.2794163298352,137.96281067455303,128.92249943990467,129.27961859113714
725.4842292028549,184.83235815595845,391.38724577199093,154.9441616673999,129.05273031688057,391.3805762830872,136.5316758075531,125.36088745130496,128.46120192648868,136.53165788959487
690.821947331056,191.73864969938916,368.6084906783893,150.53276585607853,124.98949725855336,368.6023061654617,133.06463950465044,146.09829311547057,128.19747472730097,133.06460190857084
531.1086896688129,235.16474841002525,385.09778665374023,161.27951167968476,126.84258355814586,385.0914152307111,134.01224730041267,125.73912096821137,126.21529782883718,134.0119568945428
627.3235755658678,220.85185163996977,385.1495664070856,162.96487600102333,128.40005567562503,385.1430446924747,134.04683430791033,148.91481568339208,129.87824204114554,134.0468358700651
596.8736229123203,201.14856869471268,402.1056342479378,160.40568723428242,130.4713476904761,402.09890371242807,139.07180206524149,105.13562459415049,131.39691415945555,139.07179820951686
441.5174339479536,214.67111130044697,381.7075912096924,138.02794730215356,128.8555511582304,381.7012399244748,132.76943524558587,113.29059619419928,129.4166762579821,132.7694062757802
481.8850541699643,194.92731076257897,391.3334806255624,167.21359185197772,129.1972009592375,391.3268658038327,131.21525347936443,149.94682465553407,130.85518936906405,131.2155381924142
783.5514456416993,191.50495921446907,395.70837246330865,149.60699927937335,127.91513438730692,395.70173462552214,133.64068398617164,125.6745431156234,129.87995811182978,133.64067086652855
649.9146879626919,213.8943051318548,392.5351521094767,161.35947464648314,128.30774721597575,392.5285440608937,134.46547882098986,125.72551104151314,127.6257086009942,134.46553197881374
694.2533013049634,213.96128171169676,404.2778478661627,138.00998669350156,128.77826928074262,404.27096197753326,131.20519503938587,125.17224309736469,131.27861313393535,131.2051631541888
529.1324491643331,202.8473966361623,387.851516488872,183.09607966371567,130.4163008925023,387.8449728123277,130.841416775649,125.4678461896086,130.13764722305208,130.84141712201892
610.1034367991459,184.1185971511385,388.22347444423826,141.73965676666472,125.28220694942992,388.2168242494809,126.2298726622254,131.43752475782415,131.82113377747305,126.2300208688073
834.4298722523456,192.35741148172107,380.8593280367809,170.82393302829078,127.68481314833804,380.85300024815905,131.86938176041164,140.62475094877226,128.2213258476704,131.869271158965
454.5894003559928,196.42459869199877,398.5079261213991,150.18386381796572,127.50161726783595,398.5010680413843,133.41141452330828,145.85943181299257,128.4912032887635,133.4112994441445
735.2808921813956,204.8404701364608,391.2075102262704,144.4450018131067,127.05080617425732,391.2009108690658,131.88181492971782,151.4492244965612,129.23674918250504,131.88182559911533
438.77597796683983,203.42003928698315,371.7129347234523,171.86215262459737,127.48231385935462,371.7066522687198,132.2416121922195,146.89973661652334,128.94961967903052,132.24166864876236
511.07847137250656,209.63520169400297,406.82699568143806,138.80274674575867,127.48996064043068,406.81999551977015,133.43518488725377,139.9935458224159,126.83580169445464,133.43486958050298
545.6053276989117,199.25617281099665,389.5923383507114,146.81234524470463,129.3131746182044,389.5857672729613,135.61652318338434,148.14662515473887,130.60397269683068,135.61653796169364
