baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
401.849302245972,310.43114623926925,362.03612829365966,318.51741582523533,262.86598656626313,362.03610793943216,251.95573349078637,247.8638629905917,257.62853380012496,251.9557335651579
396.60284739400663,316.1658916745849,376.67240082845865,329.35388374697527,261.5754267786346,376.6724642952385,260.1740873560785,259.60144129366205,263.10650221035337,260.1740883710028
399.58001087732566,318.1770791532979,379.02668362024144,337.0206789286873,279.6689916249897,379.02672152105976,268.1452908760016,266.33623200477416,278.86478469603355,268.14529084536485
402.2918806302417,311.74190102874184,370.94767371473694,330.2196597539999,253.08533620389736,370.9476610103613,251.9222219965842,245.36327649928893,252.95647023930084,251.9222231808299
400.6375594588976,289.3724473580554,348.14658594555357,301.3798300473846,247.51341748074927,348.14654561168953,242.97023287276625,240.68744024117265,241.8097418188238,242.97023278967703
399.90609939510335,316.9864826602952,375.9404380781131,331.87711399851406,260.5451613948216,375.9404336754793,256.5997780352697,256.8814419666575,263.6792778509022,256.599778083741
400.4985329940576,302.42760668827424,368.18204965614893,315.0797972284706,266.21545121121886,368.1820522529037,261.3148894909727,257.7212347529188,268.8259374452576,261.31488893022913
401.893949587573,317.3966666530022,367.4287225029131,329.6092473808166,256.0119291621431,367.4287258411207,259.1348851025499,259.0257693429829,259.3409459285814,259.1348851498703
399.5302505628122,311.46096326750853,371.3558373984596,327.587140125484,255.38748530708563,371.3558541713809,255.82922517215655,252.80968905871856,266.0202756420584,255.82921850537247
401.8035536943305,301.5974409253407,352.4034079270498,311.2364809859529,254.8694712090252,352.4033605427874,250.04426221754107,247.03811889683385,255.0042428830777,250.04426145551932
403.7417024043871,291.15034965305983,355.6186184174409,303.38260625808147,241.82297606028015,355.61858744304095,235.21398679707585,235.70300173581043,259.68653951028546,235.2139865955454
402.04437975016066,316.4663939629247,371.9863561350046,328.8919830486528,259.56386465243065,371.986379989482,254.91780700705624,251.7676087894632,258.94513426460236,254.9178047762209
413.6946574569655,292.83449720804816,351.76513530283654,307.1447122229733,247.3360754108995,351.76509950737903,244.99597382614263,246.50386910228224,254.66020107890216,244.9959737761321
411.8629603076064,329.3453077478124,393.2457614077298,337.8104526367512,265.15898227597427,393.2458163122724,267.0447654616396,267.4437766293014,274.09397588138336,267.0447656513845
404.54157925552835,301.5088370400717,366.8557075525144,317.0174720507153,248.61344594036595,366.8556828056576,248.03305180444983,246.20122974763092,249.5154492692831,248.0330496570581
404.59379271901577,316.08261480406776,381.22189146365105,325.9583256782584,256.99220702028725,381.22197961937576,260.4812032366894,257.90545225348455,273.65898744677105,260.4812032426162
404.59119512095896,296.9229151636405,353.36546840409414,306.36059768680144,249.2283397408096,353.3653700213582,248.02599553678408,245.40008191780015,255.77016566637872,248.02599561408647
410.8645241130804,298.0047424240777,345.69876831986005,310.95748920932874,254.2200854360127,345.6987003135693,251.01456790498017,246.8788820243595,250.93258391978955,251.01456825419396
401.9247543714846,310.3694928205772,370.25117208841016,322.13117412362624,247.816053893963,370.2511605986111,250.2176862908987,246.907069348469,254.75495636205017,250.21768442336116
411.2979080501806,304.6022604113182,348.68153622676454,316.2662889985862,253.83240205684285,348.68146777015767,250.291834422488,250.02986889172496,254.66284660711625,250.29183454971556
405.4995871669629,311.5467909295787,371.3973246436184,320.8687325752092,258.3679963460356,371.3973438900855,261.1110018512339,260.12751634518884,259.648223845961,261.1110018759209
414.5150518369764,317.1529055025948,348.55050668140825,321.3979788800129,258.1575850132111,348.55044446702607,255.68659400925435,253.06189803626037,261.5335918309504,255.6865938895103
398.9225156230604,310.2702606188122,362.2983113959979,327.2296695030395,270.99374300428224,362.29829760950935,257.0534970488876,254.0386088359814,273.6402023751566,257.05349687387076
404.0453076370898,308.2761994376475,360.49338522720296,319.3580679985069,254.6196464306529,360.4933935449565,248.7905072021132,247.4379374372051,255.82980080303872,248.79050495306495
435.3496236689791,316.55298650892115,365.1534597464849,322.0242125597702,259.64803575312834,365.15346899509495,258.31038412698217,256.11052942772886,269.0839752719945,258.310383997376
406.54018120866385,302.76904242061437,357.3221179186519,319.14676465819,260.3232765280775,357.32209681943993,252.46804323950283,250.21008041157876,259.57197472912804,252.46804366920017
408.0036192316519,294.5835309977279,352.0629883383623,304.26994133566086,259.1663842133212,352.0629497464333,247.69150277311283,246.2908162265481,260.50260670887593,247.69150270389247
407.1551687224301,336.60954187486,408.3298909687726,352.4561146319613,272.07344504999446,408.33002331507777,270.89447630142195,265.84389333677797,281.513666435532,270.8944740708528
399.7440507160029,290.75451258290303,354.2920041644365,306.9164770537825,247.08133602638975,354.2919445447435,239.57355198624157,237.7730328640349,254.0016010810795,239.5735516052904
400.91551906787794,308.3221552611016,382.9644855797882,324.25171991721226,261.68581395355415,382.9645479443041,261.27824996532956,262.3237664860845,270.03959392258156,261.278249821958
