baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
643.467007457636,231.12231155922504,442.0090755814319,178.05451791504524,145.54804500536264,441.99501613745787,170.9527884259033,122.72290397892758,148.27150058197253,170.9530090163606
769.9504962406456,218.82800307501552,454.5753735439123,173.53668970110976,143.56657751420906,454.5610009441609,165.21359725494924,152.247821936585,143.4282642504602,165.21323607628852
595.2896873801658,210.543006684502,426.0338649441181,184.05007826487295,143.3928071538075,426.0204809804568,170.09927544432048,129.31488269380523,143.97754290206754,170.09928467667447
911.5901842939674,235.67289471563407,421.4864337756587,177.80889257035182,140.11733856593975,421.4730599121228,163.47421544311743,112.50231992178034,136.43289470428635,163.47434867542754
725.8717470195845,212.54192089087584,418.4641015278868,192.99183558179183,139.922677148438,418.4510118694951,160.78855683657602,155.0295515220366,141.3783948769685,160.78823947970693
585.9450888556865,221.94294624105297,437.1433112392847,182.5037881644759,140.73969639749825,437.1294487391553,169.04198776003528,145.45890940282345,139.92270038962707,169.04049051899443
558.8370139278152,222.81353588306015,437.0049434351611,186.28079809301477,136.1492489302751,436.9910440876317,162.51840014866693,103.4009306525286,140.23285335607494,162.51902537913654
599.1362356199476,229.95613998007897,449.288215504248,189.75362687707656,144.20655425835525,449.2741779122609,173.47514587479023,157.13607785310714,147.2148744728879,173.47483032762327
559.0604862295796,225.4607073910586,424.1498023951218,179.01559244466785,142.12629900888862,424.1366296920894,171.361379613104,130.79165905797294,142.30894721562055,171.36090667293547
575.1655225676541,208.7584108020527,425.614018686329,185.19641423418057,143.3710552108578,425.6005196613982,166.15628520743996,139.041246668507,144.56820807458135,166.15604023872976
798.6557166328843,222.67332050874157,432.755402851645,191.02661294273392,142.82526479278644,432.7414592045192,162.82842483583633,124.2677356601048,143.08517384448962,162.8288455647561
892.6145663471918,234.5437722169553,432.4486937896378,178.3955135729975,144.54158372983633,432.43490467920554,170.1371718070559,172.47289773255375,144.71667852309756,170.1361576062708
646.2334291254507,221.5707048914115,433.4228848662412,153.08025463185254,144.99195770443924,433.4091423572812,169.9607563338118,161.94727963562627,145.0231516362526,169.96212072448773
822.0540041446673,222.94179346866173,433.6878855568389,173.2146374752826,143.92175413803744,433.6738940966552,169.28343014228642,197.58169096551944,145.4097456428998,169.28383502075732
764.8505805619312,212.1702393563358,456.7169476878134,169.70304061782406,135.36626706000024,456.7022362767841,167.58042723515945,138.64525949354078,138.09213423525216,167.58046587995844
781.7240423841108,241.94680777024325,458.1257765651898,164.88136109596903,146.7813742857417,458.1111897507357,175.52305532872535,141.86185935743754,147.7227605318366,175.52305570797634
444.27083456189894,207.6789418888645,434.91656397061496,215.54222392645457,139.19708284473336,434.90280259989305,171.50860116623755,158.560061766912,140.44907822578548,171.50860123287978
620.576006219618,228.0226031867223,443.8020360854948,200.42685598413848,142.74880831518018,443.787725986994,165.71171564154614,200.77682098481327,145.04274836863036,165.71202538555482
598.3811262209249,224.07640457060756,448.14036181220985,187.38122738385636,144.72391629296223,448.12603811792474,172.51615339064315,147.29159083617623,144.5946168691332,172.5167606174613
642.5074284969405,218.36900055672152,448.3300720266183,169.1076331492834,141.55209374796047,448.3156090832196,174.95346503579842,136.1269184491685,141.1702753629487,174.95348756487112
693.4945981680298,223.9029594679457,420.7187462871775,157.26942068131387,140.8644374300303,420.70546089930383,169.17367381913152,136.44384347560788,141.64721991148576,169.1735320251225
591.3562106185401,220.27969624424725,423.4563856524447,180.69963108042927,146.3591416533427,423.442796938636,179.79500882921965,174.62862338527054,145.1170845206591,179.79483682260934
750.2124283032246,225.40947888649495,437.6785985243196,190.4179655024776,145.87418274262816,437.66492371695074,169.457250173455,122.98249122112794,148.8846045145417,169.45713412792088
662.7507103256962,222.55294863439696,445.2299579052656,171.06799106250173,143.5972442785026,445.2160185209981,168.9026543269136,137.0755198336402,141.40964214374577,168.90259693341946
877.2389353409967,207.48404133348345,437.0135249460336,174.91453425238427,148.73938039790804,436.9996069719565,166.8143634627558,142.80239043275108,147.40727961264298,166.8143536060236
764.8681379654296,227.33904989511777,448.716763556472,188.70442108501587,145.84782213581371,448.7026854354287,159.76358699410184,131.55985155985385,147.18319683498044,159.76446029786672
893.5547632502902,198.0788276485378,419.27548846637615,175.8238106028239,143.45049589550692,419.2622731294179,162.06430080125418,179.77081784923988,142.14037690176278,162.06473367874494
859.2380698434926,224.80973548259803,429.87091793053594,189.3633158572526,150.68877561934096,429.8574034872532,170.79336633888747,141.8123089073297,147.92158629207253,170.7932562104392
710.6186072245978,224.87732566055664,429.2434322397496,164.5180783626377,146.46753785075484,429.22965565588703,167.5004333194692,134.52468913659715,142.5578758546039,167.50062095270442
613.6459761577895,221.7555778746482,442.6025585004984,187.8624342960261,146.46152746915868,442.5884614187971,171.57865028754347,154.76278308541816,148.34304891389866,171.57843630927735
