baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
339.1806548241227,276.60755910966503,335.7442064590127,298.18072619054163,237.6242620413034,335.74428125888176,229.18585232136616,233.49367932188775,246.71225043113716,229.18585151603017
392.56057314457894,282.4372301952139,320.7716432085646,292.45424949038545,256.78727861875,320.7715007018498,232.0940097157789,234.12234598732047,246.44248123602287,232.0940104281548
373.34219162597776,300.33919460008826,347.1419485448184,312.9122547197819,242.1806988422091,347.14198938640584,244.2892115381214,238.18712419683547,241.79575525788323,244.28921120896217
377.9911613817585,284.893233349169,353.42277659648875,307.43041797048767,246.80451397184555,353.42283265756504,240.25466059497404,247.9147345393306,259.4537906860102,240.25466049902337
374.7171722153448,286.1261186942629,342.08042063506076,305.04632448467805,233.57113001304216,342.08044288316205,227.08263142906705,229.59550898400371,224.86603631122463,227.08263257770835
371.2618952932251,290.713965239068,347.1210812000119,299.9265095098203,255.8870813884947,347.1211110509755,248.9340191846442,246.5621575826489,256.1812998297293,248.93400747500897
372.8930380173726,273.23719021425035,323.9462434810779,289.3812327616212,244.6595015382584,323.9462847557043,233.04389373095287,237.6665985760748,239.0556487722627,233.04389247527115
374.95888065946576,289.5224170726109,335.14006186182314,303.7360009154165,242.92973686302503,335.14001839599024,236.7818832772623,235.8449960474761,241.849124325589,236.7818831454632
378.4674501532192,278.26523416783556,337.96493631939774,293.85837739098776,254.3173459852438,337.96495398045005,250.36591024154987,249.3378375141551,259.6800430553599,250.36590800228583
378.983162699166,282.15480122805167,339.08944454512715,292.438127232032,258.35580652258915,339.0894693701205,246.32942307563067,243.3004051385913,252.02322397139577,246.32941892308105
377.54076073374046,295.47242213913336,352.5083128548601,319.09535286170177,248.59779621779023,352.50843261151584,234.8580853690878,240.54491400019924,251.0375668552521,234.85808316563092
412.5780385355585,286.7481556887476,349.7740596280151,300.06232823875433,253.1151116607652,349.7741474000722,244.85401704737873,243.7872099363597,247.04221845888495,244.85401931459393
374.88923093157314,310.9451664899756,356.1876391329034,315.86542574574383,256.8048170868478,356.1876810256888,256.27342847049374,253.74786120502873,261.02778799490807,256.2734236042065
408.9735986697552,313.64601472483315,370.3948044775353,333.7758165655128,244.74568835554192,370.3949788193305,253.9123907866814,253.8560366399568,263.65307765574795,253.9123893702944
378.3504628025561,285.1561298550403,320.23774357358485,295.33460944359706,234.5611857999892,320.23749797665585,230.91595984105103,226.91974256042644,231.87133876365303,230.91595974077353
376.87794307058226,292.7684944082488,352.1968377385809,315.9554385350603,245.326400125055,352.19680511896064,243.18738163470596,241.4901696634203,251.43209691424008,243.1873822533792
392.88476628479407,295.7892541387062,347.0332309263055,311.1113425128078,244.76750009490735,347.03323360876936,242.08347469410384,238.07177287313033,238.66803403681564,242.0834739864197
375.0538101368891,277.68523008257785,326.66754632679874,297.13306515729687,235.64622983492495,326.66754076988985,229.70601463468495,228.4056222874534,234.28737672837505,229.7060144926587
372.5291988692543,291.1176282934815,347.90495481613596,304.16838689748704,237.82597624872733,347.9049782689903,239.15910732910743,234.9137381590587,245.43057044359347,239.15910539143636
373.58879282592613,326.8413364764796,373.77499553194855,336.9901999146001,272.13435393610376,373.7751065507365,261.2515450462916,260.54683307578733,273.6599353700396,261.2515447522616
387.680657294173,305.7142891603982,361.4901014004123,316.34415177744046,245.31670695882704,361.4902589718386,249.14373651817291,246.54081872742444,248.15489633954388,249.14373675923613
371.8232891927997,315.4494078090701,379.775217037456,339.1211116191,262.3684700025457,379.7754354136302,264.4361314121633,265.59916815289506,250.99829638970536,264.4361326085546
385.9113387847317,295.01187075903846,337.16606644457124,310.588826829067,259.18736426082023,337.1660031615149,247.83016198379627,246.00196593769596,256.35635777309676,247.8301614764016
383.276639461407,272.1862559535434,323.49866026362207,288.4871027232729,250.68018132628876,323.49852667374535,233.91915049713373,233.61068296115693,239.6975623917823,233.91914816081737
389.30679855974,293.9780150084902,341.65331746541574,306.8161649890637,246.49019069706776,341.6532947162936,239.51146219330633,237.95037372358243,253.94847945698436,239.51146215765633
377.0080439925498,308.1880349038077,355.05750317795355,328.4044266060468,249.61990944866895,355.0575285314807,246.60653945232568,242.98326414632027,258.0326537492791,246.60653498969913
385.2685650309847,305.5899767990725,366.442092449556,316.78429285333374,260.55592757989405,366.44214864639974,258.6369978341646,258.1528583677393,251.4802123844004,258.63699696352927
378.7236265839107,283.05021442040885,335.24288869971537,300.6222314176716,232.43106445543884,335.2428544351128,223.3327774413497,221.98918649960257,233.37384567645648,223.3327777869804
376.3831401544768,293.556695183677,359.6939821757834,312.1395541629027,240.01673260935831,359.694225280466,233.57732313758177,230.85212838401108,243.55230692102825,233.57732207350156
373.1240510741656,284.4064177614835,337.210024835881,300.8741971667204,250.17129768655315,337.21007420385683,236.4861649413564,236.91166470846045,247.00524431711585,236.48616487849108
