baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
513.0546959747103,203.5551648281617,358.93401362007705,178.31159029507333,135.00279038422724,358.91580028618574,179.81148979503178,107.67756533569992,140.53338165848464,179.80916182267052
511.452645357997,191.83317520763947,359.888889820253,156.5467971415369,137.8936119651677,359.8702124695214,161.2420033207791,190.73157824255983,143.33072991963854,161.2436543339302
586.0845575127163,209.41003325456177,341.35679783302106,167.68927903124023,140.96021793018517,341.3390444690419,160.2306248476966,158.95852997617695,147.32526537419102,160.23544378123893
582.4419355053953,219.4465071992356,362.4907746023152,177.7933124321816,140.54667324160667,362.47170666194535,171.76112131794977,151.33632604348688,153.39569082779133,171.75986339806454
440.6034532451406,198.3977656425361,349.37887172506043,158.912630893562,137.33896419864,349.3609851497417,167.46017211088613,231.26051423074608,144.0417232093137,167.46015042901718
466.08626410141983,214.35053370462697,340.17412584689305,154.78219731680588,135.42502303155965,340.1568632440967,166.43569578925414,183.0435834784409,141.95359508948852,166.4307010227035
577.5228267354405,219.369491479994,352.788092962631,169.2784399356939,140.15401947682267,352.7703627251787,167.34750524446832,149.69885812594745,148.6069372606492,167.3462433452677
578.1509861520904,199.23169371764473,347.85055087478344,174.82552656582098,133.57479529892277,347.83248946389386,176.6961060523003,110.64095520794032,143.57634857360492,176.6962539445937
549.1377720612835,213.97190708944325,351.1636390135685,166.49126831705817,142.02281606436625,351.14572659920657,170.5783913221194,148.69472211417389,147.87527693429388,170.57920265937793
597.5090852327813,197.89634607364565,321.64328748600974,173.02403975427023,138.3699371827361,321.62713301421286,176.0549969755419,144.43519351782282,143.57982177436534,176.04608760607448
639.3975183221596,197.54613919198923,333.36117662260534,160.56180314510175,145.49606853571194,333.34421350216894,176.55928046847478,162.489219562145,152.82772007465854,176.55600022354346
527.501157286656,197.00675305694296,348.8653360680783,149.890532317639,138.87821920219835,348.8478881457262,166.20742583890177,132.23982679827125,146.67069115744096,166.20871448390517
521.0069301118036,225.1616274921442,372.3379670524587,175.4163700108168,138.68991866452086,372.31868477804875,174.02081018182253,181.87688169266968,144.87279336076986,174.02021218934692
405.6687672602973,198.77116231701956,351.1413419297098,157.17892105084047,138.62982947329405,351.1238975509866,165.18990594358738,120.1410161412834,146.1074831143429,165.19060313237378
515.3598968803454,184.16060005628864,349.9673245162942,149.42963032508942,133.2930746950486,349.94982489520066,167.85419260647424,176.54654817448193,139.72609512719475,167.8559085010043
592.645599604026,199.56608825297897,347.20962756590126,157.66839830534676,137.98307373982627,347.19140243826905,165.5477596216067,140.62334773111945,145.53657198333636,165.5460778235167
690.9566542808473,186.4863175554939,324.7020341929258,156.8710201939095,138.9281419963112,324.6853746407004,171.1713616188629,130.97455009813038,147.98364040831487,171.1696836630287
653.0420171272359,201.81505602595428,350.2081461541432,165.23621948126484,139.18595161065116,350.18996759226695,160.4864279098652,147.65297583231396,144.58803748031613,160.48779907359608
402.5779504601596,197.1260902880724,338.6270839311229,155.50126207368027,138.69753268615602,338.6098422602532,164.39630111529922,185.48962528320075,147.29583142294737,164.39693050599067
420.6458495298766,199.65948732704604,340.43272884309397,149.56054972475386,134.80425497179706,340.41542647365236,161.53576090338174,151.8203940780718,140.34340999804988,161.53458280334257
550.6319665247587,188.82128985427732,328.5189779526583,164.15278389689908,138.9655664762956,328.50257645163794,158.5013290593265,131.9952201811007,143.5044496515454,158.5010754343325
587.752624577442,215.69887349535932,366.4750909914406,182.44588578638505,143.85157302964458,366.4559110091101,170.15349421277676,174.79956349131237,153.42921486665233,170.15208449646906
514.7141978466443,205.33686370918028,338.7038827818426,153.98552472486716,131.1901349502948,338.6870779753579,166.83638066357742,128.3564679874114,139.180375719205,166.8317873361646
577.1348203176808,201.913204677536,351.2643226840728,166.08241820743805,142.35939949197336,351.246439252226,170.25912297529737,191.52615962428257,147.30275101040667,170.25887002869038
599.2019776653998,210.2266956406813,356.6280444883457,151.70003838551847,139.600717765213,356.61003672922357,175.54089388091464,158.11789637883973,144.21185315175492,175.5400467295508
591.8945596679873,220.2401606131788,369.28375965985686,176.37367655185386,139.09752650258972,369.2645050898293,163.95164157042373,188.0515258755612,146.2521860742519,163.9517462974609
406.43657644729495,192.79071694751363,339.76065388791244,179.98106133367023,133.6310034942847,339.74361940340066,171.65664652243828,134.2869951691316,142.0044948855232,171.65638497445264
410.48217274736584,204.30610429329224,337.5632613388793,174.75924883925975,138.26580864115937,337.54604951310887,163.08731837027852,136.015714711332,145.06730700449063,163.08486674208552
644.1168390972083,182.13115420941205,346.24378912218583,161.53792259005422,137.75193257436274,346.2255776902194,162.0441334953896,125.49171257977116,143.84774083028893,162.0436413916692
417.6491970337904,195.17315997639747,336.1150285124105,159.5739497569025,136.93574280140936,336.09783908838256,161.49089529844943,150.28035903034885,144.50442941398103,161.49321603206596
