baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
351.53903985008424,235.58667535617468,299.5400430688853,257.00407383899466,221.41369488045817,299.5398005560053,213.50783224555664,207.53596763529777,223.89233983763415,213.5078258386327
350.836778520826,250.91892806298873,303.0992465181197,271.76638448718364,216.37635391218296,303.0990916496821,214.63468076112235,217.14213592117588,223.31781932515668,214.63467287086576
383.6858150051381,272.7143481118125,301.52695642142254,275.2361078424995,244.9882955439712,301.5267865648601,234.01129467742496,240.80026504861428,244.72367997350307,234.01131369325725
361.0551176694399,257.45136607963934,323.17073360984455,279.1597182795181,227.66400344912813,323.1708408275629,218.4839041937756,218.2210063986847,229.0739280821397,218.48388442715017
352.5612357736742,263.83169588404724,321.2058286665299,286.9497345390816,223.4437076536912,321.2057901951286,215.79989140577896,215.3249761008649,240.94670649081593,215.7998911570596
351.8314197509459,251.1436577845958,299.3084923290455,272.84855904575767,252.91243190563696,299.3081632611662,236.63197686969264,235.495469603216,245.31006025194372,236.63193607189945
348.9569667279681,263.7162651583807,302.98508775098526,281.36271750048803,217.89622485738332,302.98509569287575,220.61045085733028,219.97098739756947,240.17280877557445,220.61044976478047
359.3148913996474,278.2203149100485,334.72720778821605,293.731257830017,226.0832608104081,334.7273409437701,226.81849880519763,226.79506192725347,251.86545161954368,226.81849686562177
354.98925440614585,281.7183097629294,322.58982505463604,292.649959549313,237.4487551175444,322.58974802688425,230.862632707782,229.5533981696892,242.50166944230563,230.8626278422338
353.1028990444713,254.4349758447544,314.46193223032833,273.1512872016703,220.4507240000695,314.46211228286427,213.56269306402675,212.76937221867703,234.7258285781393,213.56266782946483
352.85396487297305,286.75120695945725,339.75461057149124,298.60023335207524,237.45798875026648,339.7548632898894,240.38228179449465,238.5478576102332,247.54635307895504,240.38227208803735
357.76928584666297,263.40456697961673,324.2070374930342,284.2567988257191,236.48435795198307,324.20710019720985,231.6312648563808,230.4017731432541,235.27210021121223,231.6312585757655
352.25158506452277,257.2066324821693,299.737769984521,271.6503776145374,220.5756065260589,299.7373684187504,215.22208457705267,216.59167979444652,221.43275770978784,215.2220854177554
351.0790845486465,255.66927554839353,306.2692965363649,274.242484732037,213.5720784761708,306.26892581593705,207.38959745064415,209.43687144015576,227.7560552515922,207.3895956508437
349.4147917027977,266.5295180542143,302.7511566475372,280.4164914489443,227.02400361423943,302.75075978537944,221.71945877233733,223.13989832939575,231.29071280052727,221.71945812777992
349.1877288430553,257.1103578876067,298.9030882346441,275.7978376794823,220.6712354181357,298.90284035598165,214.8446800395606,217.2811689403796,231.69443472904783,214.8446749989856
358.2039392376864,295.30891296437375,347.91598099606574,308.4673026186313,270.15394671942437,347.91624286068446,260.8898148345176,263.30897523225724,269.22146007539413,260.8898165261536
356.0276130525115,234.84090855708476,284.06458850159515,251.79644552807667,210.57734731423943,284.0643658915172,206.366198603991,206.15461730062864,225.26766356248623,206.36620078624813
354.6723776213822,262.6145895540309,315.8347127844947,282.9467634973496,218.16775981860135,315.8348012264443,215.98875014357347,217.8197975288248,228.29984030638707,215.98875081945903
355.5031769041253,260.4583827909949,311.23000523264886,279.02086547783586,249.48198124942067,311.229880901963,235.77076797979296,237.37199036835713,248.59962672387135,235.77076908840067
353.480324897478,254.14460499964113,319.63493388405,285.6498601219764,225.5699381838997,319.63483522975184,218.97808742489948,217.3898747758565,249.41409367299727,218.97808767855457
348.36568281101125,260.7872382259592,295.6927310557807,271.77355154241485,240.68631259205992,295.6923234879681,227.87383698877173,227.3181363202172,236.8658150296828,227.8738368717443
351.4601214433348,250.07568885701136,294.0578850775989,257.86068538975394,218.65485143430445,294.05773451261655,209.06333781038083,207.73641476607264,224.67837815410223,209.0633135981564
354.41286716047773,261.8678173782079,326.85925767176496,294.37867547834406,224.12209441587711,326.8593621618316,223.10296195360192,223.92572995911175,228.82807474746156,223.1029624044129
350.5980080904514,267.3851536096789,318.44425521678005,288.8147140684789,219.37450691788763,318.4441054100305,215.7645854845898,220.8471724456788,229.79589218885792,215.76458358099185
349.2730080116773,269.8238636463073,307.2185185470921,280.5909577275027,232.9467855430428,307.21840934142443,229.49991600550703,230.031456879576,243.0889669386449,229.49992009719497
349.3236171817849,278.68686998671996,350.5769782005584,306.32117920724835,231.7801095245203,350.5772327582343,234.2673794232557,242.68453062206697,248.6629062771725,234.26738062036537
352.7522921652513,263.17839268891146,318.3294765383389,283.8540324325154,223.6585205397076,318.32954995056014,218.61000882125867,218.52782653438575,227.03255351498495,218.61001689554433
360.40628657081686,286.7627357053774,303.3127346067253,283.89278903798,298.77871384546535,303.3126441328598,278.61391805446806,271.918980912104,290.9518117041218,278.61391923884736
353.3769068935152,251.241397935534,314.15468331290117,276.1986865042804,217.39319426294023,314.1546999441502,216.51752702010776,215.22372122273785,222.79215262979832,216.51751667675316
