baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
262.3807714720796,212.82138996772727,275.0011598680713,266.996147318929,217.74764089519488,274.9928448045809,209.6467622953343,200.26377889771985,202.29107440079707,209.64675967174455
258.98244323535937,228.21109681203785,280.07382914816725,240.91726099962753,230.68533860374396,280.06681774253366,219.52065127927585,194.5922623308856,209.6839090901215,219.5206399000556
265.1676737245545,201.08829184893187,254.4798066078956,208.36962273692163,203.29464216656652,254.4725405436006,192.03988195524516,182.74289690603615,192.81565568250048,192.04024820079863
323.9801408752062,214.47700372292985,270.26619956742053,229.19385802626263,220.58088017864253,270.2593142747931,215.26723426524484,198.34386287505416,206.3942893603352,215.2667589093503
265.85072917964084,217.3956794419705,273.1267504751563,221.19747444185492,227.12987949994985,273.1193109379825,217.2135518559166,210.6512648503309,202.64503348272711,217.21336509869104
332.9454272655003,211.43607797584,263.6875695416418,219.76436125994252,220.20541500568865,263.6813340452919,200.37954528734673,191.5859723514435,190.5181669818966,200.38050647152576
270.64433067009475,211.2359381886805,272.1132080663632,220.20786468959992,215.26051853631407,272.1062244328695,208.0694454542904,198.7347985678842,200.42529705303184,208.06946008827535
286.3562007583803,200.69329499425712,263.171565654711,206.92398616287505,199.39319875990444,263.1634614360126,194.5819288414561,177.95681766393216,183.78246734828753,194.58180487716447
238.75477380557027,208.9193847654087,269.66134881200634,222.12762462782464,201.59378589150015,269.6535596459007,194.54832695069203,187.1050432564599,184.5738900510281,194.54834865013223
271.9943435901932,202.2004540651779,265.21916673580836,217.16505159864573,198.84575322737092,265.2113863833604,193.63568720186083,189.30536504340725,192.4778969513548,193.63661724409107
316.35446196202787,209.3635577752496,272.68769263663705,219.77485272740196,211.3829712058448,272.6808530646666,208.34798944615585,195.32141714888985,203.07080117823747,208.3480716721471
333.2002400312439,218.68583695332637,265.849171099577,228.60841770692497,221.3804098209167,265.8420979335703,207.81911052740057,197.35820732276727,198.3910428271408,207.81921518834903
341.24785325267595,218.16334712596765,273.732703054202,228.42840460145752,224.5949960473782,273.7247019182683,212.21565608602245,220.68520815940184,204.243975891132,212.2156419497262
282.525520118768,196.97296790463307,259.2471754366548,208.09954424799776,199.40441882854708,259.2392703503405,192.4411262196192,186.1631723112367,183.0210535003762,192.4411460497105
303.2772748681585,206.10204806436585,267.4881972023521,253.4363656539764,203.66077609442337,267.481151111618,194.55207592917276,190.53833046419015,191.99821020248177,194.55783271574032
300.3403415365048,203.51190681539416,260.6678584954089,210.85325243541695,206.31843816920303,260.65965389599006,200.87026746588825,194.5344477291591,190.614688187018,200.8700254399719
240.72956557150837,200.3847012703392,263.3777932724496,220.6604431838788,212.78034399849685,263.37019915799095,209.23147480392927,195.79540441041735,193.03449488307896,209.2303275052216
340.43401731324303,204.94426920611113,264.32190738291274,219.9764252706787,210.65099273972044,264.31353166471445,203.6019576214298,186.05534138584113,194.21155498927203,203.60193262617773
247.6480346367076,224.58545626087837,279.2633708432795,239.5279849649669,226.06975881212304,279.2565114888638,216.28470649512653,210.3302571823758,210.7089685092141,216.28474009738235
340.09113002714474,210.78727888268497,272.2820004712671,226.38208379947076,218.42437868881237,272.2747069973548,205.60202409459805,201.3721396884011,203.0955880246346,205.602063712268
323.55418810259124,213.13659007227068,266.89933564065393,223.18767008844023,217.21954767643717,266.89173756177416,200.28492341425823,191.5255549246618,194.66243378200716,200.28558035517472
317.60309732215234,203.0716171723995,265.22684041819593,213.48323903196132,201.8957843863238,265.219355079593,192.93296812205992,173.7375821231661,188.94500588230233,192.93337826138333
330.5283452925875,208.48611982736028,264.94519267885886,250.28455218523573,215.16449317076305,264.9381794036261,204.30579606969349,193.0614255426836,194.1489869084901,204.3058462286134
346.6042657755108,218.17793449489497,269.36023126271925,219.41697394541077,217.69924003322768,269.3537035193821,210.8025340602152,194.8113214730808,199.3616825688761,210.80246298414957
285.6575452506422,197.2121706705029,260.1722065023346,205.67874850228645,206.86673497032635,260.1643511075972,202.12479697712507,181.6113422942251,190.8202909527086,202.12478009812403
318.2549383640387,197.82749928244027,260.0884727120171,213.2963343431332,196.53670148290064,260.0801044902999,185.9646243040974,207.87342379111575,185.19317364063377,185.96484902783553
270.8826609356418,198.96611276426415,261.58403122198683,215.36597180031913,204.56831250021713,261.57532972739244,195.61839967889964,185.7934301171356,183.77195729458737,195.61845382603903
266.06045648397094,208.2827208862532,266.06877072424754,213.83794730646312,214.93695424028,266.0609769712742,209.23669874446267,207.02043207217375,198.85385520864384,209.23586711520764
274.30601974088955,212.7537492081897,273.6826787118012,245.7723050830355,212.53552783342113,273.6747833853999,210.6259290012702,201.00151492241363,193.5047299144567,210.6255375904985
307.4111122756402,202.6530151492432,267.56915921999575,213.12018674278457,213.9622712901888,267.56012970704575,203.44407464327503,191.77804375935705,197.53749374243213,203.4440045388035
