baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
724.4476647586911,582.8106723254404,657.8255479252099,657.280321120075,616.3830609065221,657.8247337748068,590.6179693098201,575.2549020143022,563.2590216947582,590.6179691820251
719.9582492349565,637.3975492119599,699.8295405591915,651.3246749654115,702.3871152915228,699.8306495966073,637.0986189843164,595.1623397728725,617.3885092668819,637.0986198934748
726.841687727668,559.3428663022243,629.840478161507,576.9741422381525,600.7263911910203,629.8406743596328,547.8026792645676,553.8894044039833,541.7623767157573,547.8026841304775
735.2064074995808,603.7092382706846,703.8741328342777,627.8534307875668,643.5103282463514,703.8754531333914,611.9384254891798,599.1343949501277,624.10298043562,611.938428394061
728.6037584064783,595.3175631569162,645.581660831446,579.2765057957099,696.9587203447547,645.5815776973243,608.5020304612815,603.1107665299014,565.8545393338648,608.5020052653981
747.1268938700633,594.2589793327493,687.2084045291343,607.4529696238258,651.9578695297234,687.210482816197,593.9897276747532,576.544698485151,553.8871271666691,593.9895341418271
725.9593033763493,565.8102767402731,644.6735135250441,569.7828688943371,627.9465522925244,644.6744861130544,572.4684682294836,561.0791993697812,559.2955847538167,572.468466512342
741.3576309570802,515.5207188774108,597.0309340210031,516.8287815245307,578.0868790050421,597.0294910128471,514.9568640703095,486.0439627167244,513.5358650020371,514.9568581737416
736.8952983524418,571.165824925237,639.9326865783495,581.6457162187481,554.3252440385643,639.9312849692747,533.1354420033384,510.0799892752355,501.9686254205408,533.135439995919
721.0903145541903,521.3659314216656,612.4946339932553,550.6100220171094,534.6028132643153,612.493085903964,508.654223104319,503.6338381056348,541.5185920353142,508.65407883795893
760.5647789654245,586.9998176734522,701.3876608645235,613.3342670564105,619.0908559994019,701.3892044282233,592.3263099747368,582.7105023084183,641.5987764924114,592.3263061141729
742.6870227771343,595.8800538930808,634.1875227712991,589.3727683723296,675.276467236771,634.1879439298348,593.7680756819261,570.0081851716368,558.8472264264392,593.7680702879813
749.3896809142861,609.4803143564018,676.5789131526063,613.4175613574894,682.528336871319,676.5793352421163,615.345163374318,609.3234585953355,600.9931716345252,615.3451636748773
718.745740419362,502.71514190851514,555.5140824328976,512.8136570735251,559.3214249722846,555.5117428244762,498.36172642947383,497.1654613485985,493.46509464533136,498.3617272863338
743.7419096438997,571.1915127835462,697.1270163544086,689.7026361731812,592.3651306558003,697.128387972184,581.3207749009078,567.0390863312842,581.1056671493711,581.3196846634703
731.849910833054,547.3186639103412,615.7740424962803,549.1897646301452,614.1930926121397,615.7717219176601,556.4759910695607,541.9245176933301,532.923712936628,556.4759780111139
737.8253977842296,526.3628186592382,601.9482538760501,539.2063453027864,586.9003471697532,601.9470305259359,542.7780926355599,540.326854385512,529.8651232057505,542.777911414943
733.5590623408933,549.3947154136372,617.668803693437,554.9153149814316,600.170433161012,617.6672838622146,542.0876883513768,531.6804484489223,538.8178101203556,542.0876870973865
730.9005633445074,636.4215307999934,696.5003238696678,645.8459478944746,669.2963290127661,696.5018218826293,618.0039751414511,610.1872750866967,638.735352900356,618.0039752930944
741.0232464720851,622.2680915745541,696.7519428845375,647.5187343816496,668.2009802854907,696.7523041690063,619.7309609054931,617.2481686851618,606.0106917034352,619.7309585051812
730.6112509084619,587.3994357482262,634.5459041336028,585.451460986144,676.0542277426841,634.5448619711591,590.9625622184168,565.6938129900274,541.4816620321855,590.9625217356339
730.3051006153145,588.4206955222296,647.1118296532118,587.9838963068039,620.5860560472886,647.1120870581235,553.8743434896193,533.6697929399161,545.3214722640699,553.8743480598354
732.264769578592,561.7560959122251,669.5166645293507,662.4519130155526,646.8673124010454,669.516791627388,580.1793370916373,563.8736858122685,568.9706717776078,580.1793341046119
788.7690508360783,632.5342809650884,695.2906125459228,626.8285998167963,685.7910690158826,695.292248083031,621.4529109653257,600.0021871265259,581.4215315211321,621.4529139499411
717.3863064236994,498.00525983964457,601.2175274328931,518.821311803418,614.961622132445,601.2168911645256,527.1500840612866,511.7943341028163,539.8841012967616,527.1500804800784
744.6079556369991,542.4066179488682,616.8554141852176,567.614638246954,565.9032978885388,616.8534648846065,527.1330972603395,534.1623518795361,537.9610245314088,527.1330984711407
720.6305680596389,540.6963554834862,603.5065306242973,549.8046380454336,616.6712336034827,603.5038220022482,549.29789247102,533.530157189022,530.9142163343238,549.2978877474545
722.5648278070822,562.6617917065114,652.8710189348812,576.9458616029005,619.5322396908251,652.8707087020734,562.4534856658343,568.7360901594083,594.8639728194444,562.4534258871257
719.4547175646637,589.2033520118785,648.0304362231512,636.6019957840072,627.6521207760081,648.0301993768445,575.067785185404,525.2140688772018,534.336983737413,575.0677880689993
737.8154388433707,543.0881877926635,619.816120725106,548.2625867679874,660.8312935943386,619.8142384458209,569.79745819512,527.6153896943966,577.0110872015165,569.7974496954835
