experiment,learner,cv,target,per_model_file,n_train,n_test,R2,MAE,RMSE,MRE(%),run_id,experiment_folder,learner_folder,model_tag
baseline_split80,lr,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.0759184797353402,227.4104796136163,561.5371048613316,439.4303534993937,2026-01-13_114915,baseline_split80,lr,data_EleutherAI_gpt-neox-20b
baseline_split80,lr,split80_20,Target_throughput_tokens_per_sec,data_Salesforce_codegen2-16B,4820,1205,0.0642510200665873,162.83577757355036,406.9640380792597,1228.6311992405515,2026-01-13_114915,baseline_split80,lr,data_Salesforce_codegen2-16B
baseline_split80,lr,split80_20,Target_throughput_tokens_per_sec,data_bigcode_starcoder,107817,26955,0.0753141221807865,240.5404115162243,578.399802748607,290.3895683912651,2026-01-13_114915,baseline_split80,lr,data_bigcode_starcoder
baseline_split80,lr,split80_20,Target_throughput_tokens_per_sec,data_bigscience_mt0-xxl,8564,2142,0.1005268428564457,236.01003069186285,488.85421381722415,507.4972699879664,2026-01-13_114915,baseline_split80,lr,data_bigscience_mt0-xxl
baseline_split80,lr,split80_20,Target_throughput_tokens_per_sec,data_google_flan-t5-xl,110639,27660,0.0733912795060893,165.96381575696384,414.6014549236471,463.1907795956459,2026-01-13_114915,baseline_split80,lr,data_google_flan-t5-xl
baseline_split80,lr,split80_20,Target_throughput_tokens_per_sec,data_google_flan-t5-xxl,62337,15585,0.0779140326501199,156.07582427451263,388.49625657146447,569.3854712711847,2026-01-13_114915,baseline_split80,lr,data_google_flan-t5-xxl
baseline_split80,lr,split80_20,Target_throughput_tokens_per_sec,data_google_flan-ul2,36684,9172,0.0660766394356892,139.8002553637256,347.2280385569621,424.8362811307628,2026-01-13_114915,baseline_split80,lr,data_google_flan-ul2
baseline_split80,lr,split80_20,Target_throughput_tokens_per_sec,data_ibm_mpt-7b-instruct2,15268,3818,0.0812992153412234,316.7610687682349,739.1116851519794,1191.287194224294,2026-01-13_114915,baseline_split80,lr,data_ibm_mpt-7b-instruct2
baseline_split80,lr,split80_20,Target_throughput_tokens_per_sec,data_llama-13b,95432,23859,0.0761236428325708,247.82966840316652,623.3834913630335,355.56210887360965,2026-01-13_114915,baseline_split80,lr,data_llama-13b
baseline_split80,lr,split80_20,Target_throughput_tokens_per_sec,data_llama-7b,136974,34244,0.0717782949421111,307.9113574852144,775.8481686141398,332.9730382354771,2026-01-13_114915,baseline_split80,lr,data_llama-7b
baseline_split80,ridge,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.0759184499155993,227.4096292761229,561.5371139216203,439.42281326239527,2026-01-13_114920,baseline_split80,ridge,data_EleutherAI_gpt-neox-20b
baseline_split80,ridge,split80_20,Target_throughput_tokens_per_sec,data_Salesforce_codegen2-16B,4820,1205,0.0642525488584783,162.82428417215615,406.963705637767,1228.3127924639446,2026-01-13_114920,baseline_split80,ridge,data_Salesforce_codegen2-16B
baseline_split80,ridge,split80_20,Target_throughput_tokens_per_sec,data_bigcode_starcoder,107817,26955,0.0753141352019683,240.54006757604932,578.3997986761705,290.38810527430974,2026-01-13_114920,baseline_split80,ridge,data_bigcode_starcoder
baseline_split80,ridge,split80_20,Target_throughput_tokens_per_sec,data_bigscience_mt0-xxl,8564,2142,0.1005264387741167,236.00133221987917,488.8543236244627,507.42974741883506,2026-01-13_114920,baseline_split80,ridge,data_bigscience_mt0-xxl
baseline_split80,ridge,split80_20,Target_throughput_tokens_per_sec,data_google_flan-t5-xl,110639,27660,0.0733912608965183,165.96346355044133,414.6014590869768,463.18630698727833,2026-01-13_114920,baseline_split80,ridge,data_google_flan-t5-xl
baseline_split80,ridge,split80_20,Target_throughput_tokens_per_sec,data_google_flan-t5-xxl,62337,15585,0.0779140401823946,156.07509500038518,388.4962549847033,569.3762807913043,2026-01-13_114920,baseline_split80,ridge,data_google_flan-t5-xxl
baseline_split80,ridge,split80_20,Target_throughput_tokens_per_sec,data_google_flan-ul2,36684,9172,0.0660768150676752,139.79882736687156,347.2280059074132,424.8209037550746,2026-01-13_114920,baseline_split80,ridge,data_google_flan-ul2
baseline_split80,ridge,split80_20,Target_throughput_tokens_per_sec,data_ibm_mpt-7b-instruct2,15268,3818,0.0812995929157679,316.75450528897636,739.1115332691296,1191.180750071806,2026-01-13_114920,baseline_split80,ridge,data_ibm_mpt-7b-instruct2
baseline_split80,ridge,split80_20,Target_throughput_tokens_per_sec,data_llama-13b,95432,23859,0.0761235981427186,247.82924816545,623.3835064402219,355.5597733455009,2026-01-13_114920,baseline_split80,ridge,data_llama-13b
baseline_split80,ridge,split80_20,Target_throughput_tokens_per_sec,data_llama-7b,136974,34244,0.0717783161208175,307.9109524917785,775.8481597630968,332.97166304222696,2026-01-13_114920,baseline_split80,ridge,data_llama-7b
baseline_split80,rf_light,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.1150111981282436,208.19017825148632,549.5310086617332,176.78044143126087,2026-01-13_114925,baseline_split80_rf,light,data_EleutherAI_gpt-neox-20b
baseline_split80,rf_light,split80_20,Target_throughput_tokens_per_sec,data_Salesforce_codegen2-16B,4820,1205,0.1674539508651589,120.80239295717496,383.8667403317037,276.53500834504496,2026-01-13_114925,baseline_split80_rf,light,data_Salesforce_codegen2-16B
baseline_split80,rf_light,split80_20,Target_throughput_tokens_per_sec,data_bigcode_starcoder,107817,26955,0.1113727510198768,220.41722147352905,567.0101547728401,172.02241331627982,2026-01-13_114925,baseline_split80_rf,light,data_bigcode_starcoder
baseline_split80,rf_light,split80_20,Target_throughput_tokens_per_sec,data_bigscience_mt0-xxl,8564,2142,0.1787592664549631,200.9644650086495,467.111436601844,158.9932331892485,2026-01-13_114925,baseline_split80_rf,light,data_bigscience_mt0-xxl
