umap_x,umap_y,tsne_x,tsne_y
9.631512,4.983299,-34.941372,3.1876843
9.662702,4.987631,-34.94591,3.191953
9.69169,4.9576793,-34.959133,3.2053742
9.67716,4.9729686,-34.988445,3.2334843
9.666397,4.9828606,-35.052383,3.2935421
9.658752,4.994043,-35.181416,3.3912244
9.634988,5.0214825,-35.401474,3.5358508
9.645456,5.018693,-35.773857,3.7585688
30.276173,8.499633,18.081568,-6.2444315
30.29459,8.479062,18.081432,-6.2445893
30.225056,8.502737,18.08118,-6.2447515
30.381647,8.869559,18.080751,-6.245067
30.425646,8.947502,18.079561,-6.2460604
30.322414,8.750325,18.078045,-6.2472925
30.115377,8.458483,18.075245,-6.248627
30.09164,8.387748,18.060581,-6.253111
30.197515,8.572968,17.022417,-9.331867
30.221432,8.493194,17.026264,-9.334387
30.1713,8.560603,17.037909,-9.33999
30.148146,8.631073,17.05917,-9.351148
30.108702,8.51064,17.104546,-9.375396
30.129688,8.538105,17.20175,-9.431605
30.134592,8.573455,17.390562,-9.566618
30.17065,8.61843,17.68596,-9.862168
9.708634,4.982527,-35.30116,2.7511444
9.742217,4.91346,-35.3092,2.7572896
9.749006,4.9073396,-35.326332,2.7693946
9.721582,4.9346795,-35.360283,2.7965777
9.713499,4.9423122,-35.441628,2.867871
9.694282,4.9616327,-35.575424,2.9886684
9.683325,4.975535,-35.764977,3.1651042
9.596216,5.0751643,-36.066914,3.4580505
30.347208,8.521901,16.76676,-9.86236
30.347345,8.514682,16.772734,-9.864744
30.401419,8.511119,16.782906,-9.870661
30.360968,8.496747,16.805817,-9.881267
30.256361,8.59229,16.851719,-9.9057045
30.359938,8.479231,16.95069,-9.954587
30.40114,8.50037,17.140863,-10.052059
30.228134,8.587487,17.468645,-10.221533
9.422813,5.2765946,-36.04486,2.0398986
9.433593,5.2627316,-36.048203,2.0436969
9.381744,5.320385,-36.055443,2.0509498
9.343309,5.3570237,-36.069973,2.065696
9.43483,5.2693677,-36.103573,2.0963893
9.423358,5.2813106,-36.176224,2.1609185
9.429794,5.269987,-36.335587,2.2967417
9.5090475,5.1012425,-36.621365,2.5487518
30.593227,9.664577,23.846085,1.6609854
30.533752,9.65652,23.845972,1.6605085
30.567472,9.61462,23.845772,1.6595668
30.543676,9.511126,23.84549,1.6575505
30.503828,9.488897,23.845135,1.6536158
30.477938,9.508759,23.846033,1.6472255
30.552773,9.690106,23.852995,1.632151
30.597658,9.75647,23.890038,1.5841743
15.151549,-3.5674624,-25.673628,-0.34484863
15.187466,-3.6094778,-25.672575,-0.34523848
15.168644,-3.55975,-25.672218,-0.3451691
15.169114,-3.5964692,-25.672022,-0.34521154
15.191341,-3.5555093,-25.670263,-0.3458357
15.281623,-3.591447,-25.670319,-0.34516683
15.334109,-3.368619,-25.669199,-0.34639862
15.393028,-3.2961879,-25.666145,-0.34651053
31.510748,10.380908,24.5631,-8.2490635
31.47819,10.424724,24.57494,-8.253413
31.488184,10.377999,24.599028,-8.26203
31.497837,10.419796,24.67569,-8.28933
31.547003,10.347211,24.76832,-8.345411
31.511875,10.366225,24.893867,-8.448881
31.534811,10.368427,25.08701,-8.628845
31.591066,10.503504,25.405281,-8.942369
11.85211,2.0944428,-29.185085,5.0627713
11.837839,2.1074486,-29.177677,5.0681376
11.845889,2.083159,-29.163082,5.081308
11.809353,2.1032765,-29.132595,5.107957
11.815781,2.080988,-29.070593,5.166517
