umap_x,umap_y,tsne_x,tsne_y,median_itl,median_itl_oof_pred,median_itl_resid
9.631512,4.983299,-34.941372,3.1876843,19.0,17.84,1.1600000000000001
9.662702,4.987631,-34.94591,3.191953,20.0,18.795,1.2049999999999983
9.69169,4.9576793,-34.959133,3.2053742,22.0,19.755,2.245000000000001
9.67716,4.9729686,-34.988445,3.2334843,25.0,21.59,3.41
9.666397,4.9828606,-35.052383,3.2935421,31.0,24.83,6.170000000000002
9.658752,4.994043,-35.181416,3.3912244,41.0,34.85,6.149999999999999
9.634988,5.0214825,-35.401474,3.5358508,64.0,56.045,7.954999999999998
9.645456,5.018693,-35.773857,3.7585688,87.0,92.0,-5.0
30.276173,8.499633,18.081568,-6.2444315,48.0,52.58,-4.579999999999998
30.29459,8.479062,18.081432,-6.2445893,54.0,50.505,3.4949999999999974
30.225056,8.502737,18.08118,-6.2447515,58.0,55.52,2.479999999999997
30.381647,8.869559,18.080751,-6.245067,60.0,61.625,-1.625
30.425646,8.947502,18.079561,-6.2460604,61.0,67.08,-6.079999999999998
30.322414,8.750325,18.078045,-6.2472925,61.0,66.525,-5.525000000000006
30.115377,8.458483,18.075245,-6.248627,62.0,87.78,-25.78
30.09164,8.387748,18.060581,-6.253111,62.0,109.995,-47.995000000000005
30.197515,8.572968,17.022417,-9.331867,20.0,21.015,-1.0150000000000006
30.221432,8.493194,17.026264,-9.334387,22.0,20.46,1.5399999999999991
30.1713,8.560603,17.037909,-9.33999,26.0,22.715,3.285
30.148146,8.631073,17.05917,-9.351148,29.0,25.35,3.6499999999999986
30.108702,8.51064,17.104546,-9.375396,36.0,28.735,7.265000000000001
30.129688,8.538105,17.20175,-9.431605,50.0,37.935,12.064999999999998
30.134592,8.573455,17.390562,-9.566618,71.0,58.945,12.055
30.17065,8.61843,17.68596,-9.862168,99.0,95.33,3.6700000000000017
9.708634,4.982527,-35.30116,2.7511444,15.0,16.775,-1.7749999999999986
9.742217,4.91346,-35.3092,2.7572896,16.0,17.64,-1.6400000000000006
9.749006,4.9073396,-35.326332,2.7693946,17.0,17.36,-0.35999999999999943
9.721582,4.9346795,-35.360283,2.7965777,19.0,19.865,-0.8649999999999984
9.713499,4.9423122,-35.441628,2.867871,23.0,27.22,-4.219999999999999
9.694282,4.9616327,-35.575424,2.9886684,31.0,31.61,-0.6099999999999994
9.683325,4.975535,-35.764977,3.1651042,52.0,50.675,1.3250000000000028
9.596216,5.0751643,-36.066914,3.4580505,98.0,82.195,15.805000000000007
30.347208,8.521901,16.76676,-9.86236,19.0,19.815,-0.8150000000000013
30.347345,8.514682,16.772734,-9.864744,20.0,20.235,-0.23499999999999943
30.401419,8.511119,16.782906,-9.870661,21.0,22.3,-1.3000000000000007
30.360968,8.496747,16.805817,-9.881267,23.0,24.185,-1.1849999999999987
30.256361,8.59229,16.851719,-9.9057045,27.0,28.785,-1.7850000000000001
30.359938,8.479231,16.95069,-9.954587,37.0,42.7,-5.700000000000003
